	MO18_001	MO18_002	MO18_003	MO18_004	MO18_005	MO18_006	MO18_007	MO18_008	MO18_009	MO18_010	MO18_011	MO18_012	MO18_013	MO18_014	MO18_015	MO18_016	MO18_020	MO18_024	MO18_028	MO18_032	MO18_034	MO18_035	MO18_036	MO18_037	MO18_038	MO18_039	MO18_040	MO18_041	MO18_042	MO18_043	MO18_044	MO18_045	MO18_046	MO18_047	MO18_048	MO18_052	MO18_056	MO18_060	MO18_064	MO18_065	MO18_066	MO18_067	MO18_068	MO18_069	MO18_070	MO18_071	MO18_072	MO18_073	MO18_074	MO18_075	MO18_076	MO18_077	MO18_078	MO18_079	MO18_080	MO18_082	MO18_084	MO18_086	MO18_088	MO18_090	MO18_092	MO18_094	MO18_096	MO18_097	MO18_098	MO18_099	MO18_100	MO18_101	MO18_102	MO18_103	MO18_104	MO18_105	MO18_106	MO18_107	MO18_108	MO18_109	MO18_110	MO18_111	MO18_112	MO18_116	MO18_120	MO18_124	MO18_128	MO18_129	MO18_130	MO18_131	MO18_132	MO18_133	MO18_134	MO18_135	MO18_136	MO18_137	MO18_139	MO18_140	MO18_141	MO18_142	MO18_143	MO18_144	MO18_148	MO18_152	MO18_156	MO18_160	MO18_193	MO18_194	MO18_195	MO18_196	MO18_197	MO18_198	MO18_199	MO18_200	MO18_201	MO18_202	MO18_203	MO18_204	MO18_205	MO18_206	MO18_207	MO18_208	MO18_212	MO18_216	MO18_220	MO18_224	MO18_225	MO18_226	MO18_227	MO18_228	MO18_229	MO18_230	MO18_231	MO18_232	MO18_233	MO18_234	MO18_235	MO18_236	MO18_237	MO18_238	MO18_239	MO18_240	MO18_244	MO18_248	MO18_252	MO18_256
MO18_001	0.0	0.7794402881684677	0.7574987290289782	0.7739648326715826	0.896978021978022	0.8201834862385321	0.7196319018404908	0.7699416342412452	0.7486432447872037	0.7900172117039587	0.7963015647226174	0.8222945002956831	0.7613204791118902	0.7395498392282959	0.8041268863566369	0.7655517349171617	0.8189708617482951	0.7741559953434226	0.8339165545087484	0.775151340443932	0.8011152416356877	0.8110506727741197	0.8269827829523003	0.8163265306122449	0.830379746835443	0.8149606299212598	0.789279112754159	0.780229746070133	0.8131127450980392	0.8800530152418821	0.890695067264574	0.8303843807199512	0.8534591194968554	0.7933786579958617	0.8599056603773585	0.7883522727272727	0.8629878869448183	0.8372881355932204	0.819877774203924	0.8709572035282588	0.8776632302405498	0.803868155815854	0.9029829134086301	0.8372163388804841	0.8562289562289562	0.9289015286171347	0.8065185185185185	0.8342557529857267	0.8312159709618875	0.883518776077886	0.8220946915351507	0.8076600503214985	0.8907412920512057	0.8560559951308582	0.8325213154689404	0.8509228584950308	0.7881802223522528	0.8783783783783784	0.8198667825079641	0.8099697885196374	0.8407945449155055	0.8391688015940791	0.8713927227101631	0.8310502283105022	0.8243442381373416	0.9106292966684294	0.8325681052953781	0.8297090352220521	0.8457193816884662	0.8422194668319901	0.8495867768595041	0.8378958668813741	0.8255069370330843	0.8190701806336985	0.8322741088698535	0.856520281595709	0.8666666666666667	0.8278104676370394	0.8514686248331108	0.8228219419184511	0.8225665010230927	0.8401898734177216	0.8003076923076923	0.8090052972336669	0.8144902132632194	0.8209399167162403	0.8156494522691706	0.8117505995203836	0.8586779550634972	0.8470705064548163	0.808768656716418	0.7913318025258324	0.8275311402107953	0.8501413760603205	0.84512	0.84093637454982	0.8176282051282051	0.8287051482059282	0.8375366568914956	0.8072185620166141	0.8440700363396102	0.8038632986627043	0.845407699302819	0.8095238095238095	0.8439787092481703	0.8227647431832593	0.8127317676143387	0.8307644882860666	0.8281733746130031	0.8330766861718509	0.784272997032641	0.8001882057716436	0.8191075172207247	0.811627151672621	0.7715412621359223	0.8375935162094763	0.8649893692416726	0.8269121813031162	0.827922077922078	0.7935444579780755	0.819351230425056	0.7937041564792175	0.8400713436385255	0.8096330275229358	0.7986864648772131	0.8045318045318045	0.8054617980975759	0.845763723150358	0.8081429408318688	0.808236403646652	0.7836806574699149	0.7980356046654389	0.7898275358082432	0.8001220628623741	0.7901085645355851	0.7831111111111111	0.8044982698961938	0.805424156417534	0.8267234495608198	0.8104814137720902	0.818234109864826	0.8223227752639517
MO18_002	0.7794402881684677	0.0	0.8076923076923077	0.7872278664731495	0.8879310344827587	0.8182311448724905	0.7667584940312213	0.8092583616093069	0.7739507959479016	0.8015647226173542	0.8066588785046729	0.8147004323656578	0.7948793407886993	0.7802907915993538	0.8159645232815964	0.7935299714557564	0.8339166401527204	0.8038235294117647	0.8411292554663714	0.7975388221506007	0.8304552590266876	0.834544925850538	0.8624503686897335	0.8411125319693095	0.8408434430964761	0.8433033350979354	0.8321505708114779	0.8300751879699249	0.8332290362953693	0.8825561312607945	0.8762157382847038	0.8600123609394313	0.87968	0.8358959195742165	0.8643739404214096	0.8265451438336656	0.8666296193387052	0.8359319631467045	0.8346560846560847	0.8814189189189189	0.8909026297085999	0.8360745614035088	0.8906820950060901	0.8656441717791411	0.8747404844290657	0.9338289962825279	0.8215477996965098	0.8496868475991649	0.849319306930693	0.8991023339317774	0.8417665984205908	0.8248716486023959	0.8868511035125893	0.8709778194314277	0.8500623441396509	0.8590457737951078	0.8198996161795099	0.8801637513956085	0.8365896980461812	0.830095590502621	0.8597819503331314	0.848990342405619	0.8715686274509804	0.8620391705069125	0.8480671261612227	0.9013266998341625	0.8541536539662711	0.8414749448471478	0.8448702101359703	0.8374352331606217	0.866031961917715	0.8426438053097345	0.8516320474777448	0.8265648854961832	0.8465234595816846	0.8495949277914758	0.8692010309278351	0.8422391857506362	0.8792927575654539	0.8331825037707391	0.8415871121718377	0.8709848685956995	0.8330742928193969	0.8452204794317846	0.837147102526003	0.8496987951807229	0.8454949238578681	0.8548725637181409	0.8803732089303565	0.8626916524701874	0.8513555624805236	0.8346231011751218	0.8548229944787269	0.867590206185567	0.8749594024033778	0.8702127659574468	0.8611825192802056	0.858994625355675	0.8694493783303731	0.8431203223949338	0.8695652173913043	0.8386710565698893	0.8514106583072101	0.8406641421497233	0.8584161810078849	0.8479173393606716	0.8443263519849953	0.8546310832025118	0.8484656754191712	0.8583959899749374	0.8286899822169532	0.8317460317460318	0.828139463128664	0.8546284224250326	0.8137344272257673	0.8567783094098883	0.8952312138728323	0.8414033053058858	0.8420096852300242	0.8408745824476161	0.839123006833713	0.8290729904527256	0.8590950501062861	0.844650546538589	0.8430646539447451	0.8412698412698413	0.8345771144278606	0.8694596235579842	0.8342245989304813	0.8399618199172765	0.8272727272727273	0.8335910918651407	0.8239623196938475	0.8304508956145769	0.8418688230008985	0.8211841713775662	0.8355646100116414	0.8379585326953748	0.8384196185286104	0.8286070426924276	0.8493468795355588	0.8433846153846154
MO18_003	0.7574987290289782	0.8076923076923077	0.0	0.7902932779652219	0.9057315233785822	0.832005792903693	0.7559966914805625	0.7952668006251395	0.772372528616025	0.8184605949095369	0.8150933609958506	0.8434154175588865	0.7936758893280632	0.7834285714285715	0.8149915777653004	0.8144358407079646	0.8490566037735849	0.8117001828153565	0.8525798525798526	0.8116580310880829	0.8298109010011123	0.844015444015444	0.8660105980317941	0.8489773045671056	0.8433239001800875	0.8450737743931461	0.8261826182618262	0.8235135862254507	0.8335641096649128	0.8851574212893554	0.8902092482562646	0.8629054238212047	0.8713881019830029	0.8216475606504932	0.8640456841642873	0.8266632679072139	0.8668653750620964	0.8609431680773881	0.8462424416930607	0.889344262295082	0.8951563458001226	0.8360817130199361	0.9011984021304926	0.8650922909880565	0.8857398568019093	0.9385492556224263	0.8357333333333333	0.8518518518518519	0.8593919652551575	0.9036144578313253	0.8477697095435685	0.8329107505070994	0.896551724137931	0.8641530357637927	0.8551042810098792	0.8529151943462897	0.8336370736787295	0.8850574712643678	0.8432503276539974	0.8443663874628479	0.8595973154362416	0.8571428571428571	0.8846698781524511	0.8659846547314578	0.8651980068187779	0.9118867463998047	0.8668122270742358	0.8621067031463748	0.8689710610932476	0.8664069023100474	0.8687407407407407	0.8550404709345106	0.8478366553232863	0.8457844183564568	0.8492183560262229	0.8755248950209958	0.8855707507675132	0.8553581343697946	0.8812907045589106	0.8458885941644563	0.8621318738597863	0.8694199092862258	0.8337462152491054	0.8331559340074508	0.8354966887417219	0.8457204185672123	0.8486033519553072	0.83917970858068	0.8825239895318406	0.8678518518518519	0.8435506241331484	0.8230271668822768	0.8516184474362647	0.8606440581362211	0.8713182728052616	0.8627132412672623	0.8500856653340948	0.853781512605042	0.8552421500798297	0.8315598235141448	0.8721340388007055	0.8299812282113167	0.8544198895027625	0.8245983671319462	0.8641644325290437	0.8465261958997722	0.8395335924486397	0.8638613861386139	0.8483240223463687	0.8510579064587973	0.8245428041346409	0.8243434058175657	0.8316048034934498	0.8589780188409935	0.8046321525885558	0.8566207478211977	0.8944739306899782	0.8354134165366615	0.8472445157838416	0.8289760348583878	0.8292682926829268	0.8279540481400438	0.8552915766738661	0.8351422704605456	0.8197870682939497	0.8192740926157697	0.8243956654626285	0.8549265106151334	0.8146853146853147	0.8336158192090396	0.8117709437963945	0.8251864125932062	0.8118864420270628	0.8210933186085035	0.8114754098360656	0.814034151547492	0.8249475890985325	0.8413367031732659	0.836764705882353	0.8301158301158301	0.8529791075573897	0.8291471156500138
MO18_004	0.7739648326715826	0.7872278664731495	0.7902932779652219	0.0	0.8521212121212122	0.7987633501967397	0.7389776357827476	0.7858758482030661	0.7257668711656442	0.7835738068812431	0.7530364372469636	0.7429718875502008	0.7832019405700424	0.7586554621848739	0.782145236508994	0.7421426157485637	0.8139688844753393	0.7809727745487917	0.7930020582181712	0.7597903176071539	0.8240800516462233	0.8008552229688455	0.8464474456840869	0.8299207397622193	0.8166767007826611	0.8138312586445366	0.8263074484944533	0.8203221809169765	0.7939814814814815	0.8719141323792486	0.8322378716744914	0.8560101490643831	0.8716171617161717	0.8149400553335383	0.8565400843881856	0.8258214597266648	0.8431259044862518	0.8258797653958945	0.8179945054945055	0.8662219101123596	0.8839515240543518	0.8089244851258581	0.8745259165613148	0.8380462724935732	0.8690688547984302	0.9276366435719784	0.8028346456692913	0.8494361475160013	0.8210696920583468	0.8984865263935031	0.8223504403279684	0.802491103202847	0.8584013050570962	0.8554763447828905	0.8315516682863622	0.8421710855427714	0.8143549364021805	0.857087075361187	0.7982510930668333	0.8182107609041707	0.8255739795918368	0.8114197530864198	0.8242064876177189	0.850222882615156	0.8184673366834171	0.8883495145631068	0.8342541436464088	0.8150346191889218	0.8160621761658031	0.8263633322181332	0.8589968432129077	0.8209770114942528	0.8405998333796167	0.8056525881232137	0.8154620853080569	0.8259587020648967	0.855807743658211	0.8269040553907022	0.8726762539459839	0.8056782334384858	0.8261272390364423	0.863177977650586	0.8128031037827352	0.8289393010423053	0.8212307692307692	0.828526645768025	0.8264599142197294	0.854032505366452	0.8637781629116118	0.8686587908269632	0.8478260869565217	0.8247787610619469	0.8489304812834224	0.8491451558833389	0.8704074816299265	0.8558388416745357	0.8547800198478333	0.8443643512450852	0.8578850855745721	0.8279249776719262	0.855944055944056	0.8270537368746139	0.8301763553233181	0.8294294294294294	0.8539167254763586	0.8418604651162791	0.8364982298036692	0.8437094682230869	0.8334426229508197	0.8509677419354839	0.8222763237979306	0.8137157929442795	0.8154287535862289	0.8487084870848709	0.8018808777429467	0.8510498687664042	0.8928571428571429	0.8309438470728794	0.8189274447949527	0.8440111420612814	0.8204901092412165	0.8080743351489907	0.8472396486825596	0.850489368882889	0.8436955258570599	0.8402234636871508	0.8246232766912472	0.8474683544303797	0.8307973219720024	0.8443579766536965	0.8314439140811456	0.8359103818239192	0.8128033980582524	0.8196877986619943	0.8194011228945727	0.8145432325084021	0.8291006871825516	0.8165503489531406	0.8411862527716186	0.8274872448979592	0.8321299638989169	0.8396970653202903
MO18_005	0.896978021978022	0.8879310344827587	0.9057315233785822	0.8521212121212122	0.0	0.8812411847672779	0.8871559633027523	0.9116939364773821	0.8664898320070734	0.8884744498321522	0.8229299363057325	0.7698894042097753	0.8374647003451522	0.8780245276764999	0.83991683991684	0.871404958677686	0.8544945785239594	0.865823565700185	0.8104636591478697	0.8515769944341373	0.8842422214787554	0.7911794186435015	0.8580889309366131	0.8560820367751061	0.8720423412204235	0.8480463096960926	0.8919712793733682	0.8807163415414135	0.8673677069199457	0.8955745341614907	0.8052356020942408	0.8922095366017462	0.8764897074756229	0.8905223647169221	0.9102661596958175	0.9103125912941864	0.8080775444264944	0.898820844427539	0.8882582476055338	0.9116989567809239	0.894331983805668	0.8595090209997043	0.8775017253278122	0.8445686342996856	0.8966846569005397	0.916958041958042	0.8963665086887835	0.9175772713081486	0.869609507640068	0.9368295589988082	0.9025514909314479	0.9051951863809803	0.9041895604395604	0.9199329983249581	0.8805564981336953	0.91975	0.8891284262396058	0.8916631400761743	0.903685351502013	0.8937276568085798	0.8916256157635468	0.8615038560411311	0.8362462006079028	0.8937558247903076	0.8789354105809802	0.8633481293595434	0.856694560669456	0.8602150537634409	0.8753778972119584	0.8842398884239888	0.9148857774502579	0.8745551601423488	0.8807525325615051	0.8828857974765448	0.8804974218986957	0.8614410134600158	0.8261851015801355	0.8785369220151829	0.9201040505388332	0.8704124715816823	0.8904066073697586	0.909373235460192	0.8934210526315789	0.9106699751861043	0.9106369820655535	0.9128091312618897	0.9008795669824087	0.9281025320412629	0.8868065967016492	0.9185619955979457	0.9193442622950819	0.9062778934840822	0.9219663114472327	0.9205526770293609	0.9270506108202443	0.9180487804878049	0.9183813443072703	0.9183467741935484	0.925415230335318	0.9173627684964201	0.9066765031353744	0.9158123640882262	0.9166115155526141	0.9180229053646776	0.9078751857355126	0.9179434797412326	0.9185742315238719	0.8777127109886325	0.899796885578876	0.923941798941799	0.9097030915212734	0.8989290495314591	0.9038275972981666	0.9111188567445103	0.906318082788671	0.8982407726802346	0.9254933548127265	0.9122171945701357	0.9105897273303741	0.9110263743247538	0.913671184443135	0.8961501132319638	0.9235933503836317	0.9216846501914375	0.92190252495596	0.9265568277017593	0.899016393442623	0.9245161290322581	0.9186046511627907	0.9257670735730782	0.9171917191719172	0.9107603092783505	0.9125188536953243	0.9122638488632725	0.9028084569264753	0.9076452599388379	0.9156156156156157	0.8778889272162814	0.9129946674150996	0.9015324421258559	0.8972539339709966	0.9205382890099327
MO18_006	0.8201834862385321	0.8182311448724905	0.832005792903693	0.7987633501967397	0.8812411847672779	0.0	0.8005234079674324	0.8299462742349918	0.7633457036825578	0.8206873086083702	0.7955069124423964	0.8221556886227545	0.8286752375628843	0.815483476132191	0.8144712430426716	0.8210399032648126	0.8634028407373829	0.8312745648512072	0.8191342707471739	0.8175675675675675	0.8393074119076549	0.8280982295830954	0.8848764594080912	0.8522516964836521	0.8239839725243274	0.8483754512635379	0.8445966061327776	0.850302855494664	0.8327738785474519	0.8940903054448871	0.8414344991108477	0.8811705586757316	0.8949308755760369	0.8447436264680608	0.846987951807229	0.848087431693989	0.8633269806697522	0.8542866824805151	0.8522511097019657	0.8803812027604337	0.9083814048184594	0.8436750998668442	0.8868710925870795	0.8765176191886289	0.895778364116095	0.9414285714285714	0.8348462664714494	0.878581560283688	0.8659334126040428	0.9141483516483516	0.8676716917922948	0.8324563832733315	0.8330688670263409	0.8858858858858859	0.8637045932152507	0.871066228276186	0.8525371460611157	0.8858988159311088	0.8327051319222963	0.8504728132387707	0.8597164796219728	0.8280977312390925	0.8473530367002273	0.8835862068965518	0.8668392292205924	0.9100401606425703	0.8628813047417698	0.8621417797888387	0.8507194244604317	0.860235003092146	0.882774340605666	0.8528938906752411	0.8541721505659384	0.8455451348182884	0.8531026908292147	0.8603389830508474	0.8811666149550108	0.859236641221374	0.8983436180578109	0.8368544600938967	0.8750353406841956	0.8880081820506265	0.8483398145378402	0.8577142857142858	0.8516184474362647	0.8615876708345449	0.8609332113449222	0.8730569948186528	0.8958466453674121	0.8908268733850129	0.8649459783913566	0.8625307461054933	0.8772473651580905	0.8768273716951789	0.8909657320872274	0.8801762114537445	0.8671023965141612	0.8711151736745887	0.8775802752293578	0.8479843225083986	0.8860187278010978	0.8581275129236071	0.8650769695140356	0.8576233183856502	0.8741373644429838	0.8663366336633663	0.865050867743866	0.8760132092464725	0.8599328654256942	0.8751879699248121	0.868641699273337	0.8324056895485467	0.8383054892601431	0.8830445544554455	0.8368711834835708	0.8624420401854714	0.9071379071379071	0.8630175048624618	0.8565597667638484	0.876220562894888	0.8491450634307777	0.8562206572769953	0.8630864561817645	0.8618609082248333	0.8661030815380419	0.8575197889182058	0.8525373134328358	0.8445251058681186	0.8487972508591065	0.8725519734859898	0.852619781451387	0.8576070901033973	0.8427157001414427	0.8433124813821865	0.8320070733863837	0.8258101851851852	0.8393767705382437	0.8315625	0.8541009463722398	0.8444244604316546	0.8709677419354839	0.8655091230135373
MO18_007	0.7196319018404908	0.7667584940312213	0.7559966914805625	0.7389776357827476	0.8871559633027523	0.8005234079674324	0.0	0.7491317125300561	0.7122186495176849	0.7474062250598563	0.7730744748567792	0.7855218855218855	0.7631241997439181	0.7013558079882741	0.769041769041769	0.7320794889992903	0.8097053726169844	0.7685393258426966	0.8247177658942365	0.765774378585086	0.8009608785175018	0.8115166771554436	0.8351309707241911	0.8219368274904547	0.8218068535825546	0.8051385681293303	0.8017532029669588	0.7859986728599867	0.7904564315352697	0.8642722117202268	0.8728760226557584	0.8372562205783457	0.8622129436325678	0.7900750897812602	0.8483595970033583	0.7926109903756597	0.8595139300533492	0.8032915360501567	0.8029807342784442	0.85459278542209	0.8693270735524257	0.7993421052631579	0.8768926925608953	0.8404682274247491	0.848704268292683	0.9249898083978801	0.7769591426657736	0.8119266055045872	0.8180277871907828	0.8736591179976162	0.7955426356589147	0.7598852040816326	0.8697705802968961	0.8374570446735395	0.8075862068965517	0.8198103266596417	0.791786974655117	0.8515915667631253	0.7731343283582089	0.8011440107671601	0.8080944350758853	0.8299620733249052	0.8492857142857143	0.842203548085901	0.8150213184650705	0.897851045039741	0.833785617367707	0.8153370013755158	0.823549144582355	0.8134934652066408	0.839626168224299	0.808677312443507	0.8323665893271461	0.7879194630872484	0.8106271238801359	0.8331410995770857	0.8622484385843164	0.8224525043177893	0.8563432835820896	0.7972883597883598	0.823074444086368	0.8482245131729668	0.7889309040907528	0.7840344484928784	0.7751164337990686	0.791512293701583	0.7914893617021277	0.8138842975206612	0.8534261634298278	0.8393724318266716	0.8011797362942401	0.7970514429109159	0.802253725917848	0.8178545716342692	0.8290474465773271	0.821501014198783	0.8082733812949641	0.8084656084656084	0.8220617202889035	0.7947820553611199	0.8347014925373134	0.7873047524094383	0.7971268395234758	0.7890826873385013	0.8248009101251422	0.7996402877697841	0.791492329149233	0.8273850377487989	0.8021784961349262	0.8116295264623955	0.7914907437479701	0.7765164952110678	0.7825938566552901	0.8258226037195995	0.7707496653279786	0.8181177299964751	0.8678414096916299	0.7901670951156813	0.7988640160374206	0.814937210839392	0.7832964251819045	0.7820600272851296	0.8127946127946128	0.7981549815498155	0.7918637653736992	0.7950030102347984	0.7996587030716723	0.8250924991590985	0.7943192948090108	0.8021746755524377	0.7813712807244502	0.7959183673469388	0.7654968842243358	0.7792653621695846	0.7835396453663432	0.770675453047776	0.7905036894449792	0.8082431016416346	0.8039157520023732	0.7872121003781368	0.808109833971903	0.7934336525307798
MO18_008	0.7699416342412452	0.8092583616093069	0.7952668006251395	0.7858758482030661	0.9116939364773821	0.8299462742349918	0.7491317125300561	0.0	0.774993735905788	0.8157197527229909	0.8184991273996509	0.8455012853470437	0.8227126208777585	0.7784827586206896	0.8243641231593039	0.7963813124493654	0.864281956864808	0.8176352705410822	0.8576823223979231	0.8233984664852833	0.8414924583223075	0.8556346673213847	0.8850107578293092	0.8697490092470277	0.8644439036261864	0.8394177449168208	0.84996112982638	0.8345305284761416	0.8447139467440021	0.8985835694050992	0.8978282329713722	0.8820803295571575	0.8963868225292242	0.8420787083753785	0.8646121147715197	0.8301470588235295	0.8826446280991735	0.8631639722863741	0.8581191908146528	0.8964365256124721	0.9152055188272492	0.8451202263083452	0.9110266159695818	0.883786557208825	0.8975155279503105	0.9498956158663883	0.8239564428312159	0.8573600202685584	0.871741935483871	0.9074618096357226	0.8496259351620947	0.8194410091516201	0.8956703182055294	0.880346365783259	0.8585699263932702	0.8397144711226476	0.8401097530556249	0.8996394230769231	0.8239671542211958	0.8559300231541034	0.8527655154505324	0.8718327183271832	0.8869612361073461	0.8754274548119199	0.8629582806573957	0.9110588235294118	0.876235049401976	0.8655660377358491	0.870917973772178	0.869136460554371	0.8734463276836159	0.8527389139198482	0.8576081898557468	0.8456996148908857	0.8416931734768779	0.8841116173120729	0.8972185430463576	0.872044140830268	0.8919753086419753	0.8516637033274067	0.8657164291072769	0.8724431165249368	0.8341269841269842	0.8338453661034306	0.8262210796915167	0.8384415584415584	0.8511777301927195	0.8474226804123711	0.8996435426377845	0.8864397321428571	0.8518126488489018	0.8419631901840491	0.861307901907357	0.8652327797440784	0.8772838832833378	0.8655244029075805	0.8650621957815036	0.8561460010735373	0.8571428571428571	0.8325837081459271	0.8841548315232526	0.8271668822768434	0.8457219251336898	0.8267915928083059	0.8770792218776431	0.8445113605255954	0.8479872881355932	0.8802395209580839	0.8594580233793836	0.8617218543046358	0.8452858575727181	0.8370907139023082	0.8360355648535565	0.8762135922330098	0.8261205564142194	0.8683226495726496	0.9046635182998819	0.8357124968695216	0.8479938271604939	0.8567774936061381	0.8177955511122219	0.8374217118997912	0.8512633498306851	0.8478018920422927	0.8306051587301587	0.8141227857316186	0.8479057591623037	0.8502758077226162	0.8252053388090349	0.8536	0.8264379414732593	0.8394543546694648	0.809731113956466	0.8291139240506329	0.8247529901196048	0.8136246786632391	0.8247474747474748	0.8616852146263911	0.8270102600811262	0.8361909786336059	0.8534889495902657	0.8262835860601224
MO18_009	0.7486432447872037	0.7739507959479016	0.772372528616025	0.7257668711656442	0.8664898320070734	0.7633457036825578	0.7122186495176849	0.774993735905788	0.0	0.7684946632315053	0.7412457390765417	0.7652962123664616	0.7542839657282742	0.7319134550371873	0.7894393741851369	0.75	0.8097417456685191	0.7544670363524337	0.7908800464711008	0.7553386211104332	0.7964227642276422	0.7812786784949526	0.8249336870026526	0.8115511551155116	0.7893778452200303	0.8030845497108234	0.7941647964091055	0.7975116640746501	0.7731788079470199	0.8661723163841808	0.8330766861718509	0.8328025477707006	0.859251968503937	0.7828926905132193	0.8325825825825826	0.8051341890315052	0.8249782671689365	0.8054945054945055	0.8017802122560767	0.8645941278065631	0.8692953632712669	0.7832853025936599	0.8637362637362638	0.8261980830670926	0.8557249202410493	0.9300225733634312	0.7868594781515247	0.8306894447834046	0.8172215108834827	0.8877513711151737	0.8040109389243391	0.7845697329376855	0.8466277561608301	0.8493589743589743	0.8165967064901518	0.8340796019900497	0.8129668359725127	0.8523644752018454	0.7948164146868251	0.8062064597846739	0.8258003766478342	0.8085949405669003	0.8296928327645051	0.8436395759717314	0.8275015346838551	0.8864148816234498	0.8272200772200772	0.8215553404323975	0.81152	0.8258149489627923	0.8519417475728155	0.8152050113895216	0.8195761293920804	0.7979225684608121	0.8154744525547445	0.8304473304473304	0.8521567336187027	0.8255927249106852	0.8678200692041522	0.7911949685534592	0.8274080826496506	0.8588774959525094	0.8006430868167203	0.8064019698368728	0.8044881647709806	0.812206572769953	0.812807881773399	0.8294262800740284	0.8610447251621713	0.8556629834254144	0.8270339525944908	0.809776207302709	0.8330556481172943	0.8409694555112882	0.8529509836612204	0.834280303030303	0.8305647840531561	0.8280483818241255	0.84051329055912	0.8081742243436754	0.8433483848558527	0.8117103235747304	0.8204795852235904	0.8105832832230908	0.8367346938775511	0.8190603132289237	0.8136304909560723	0.8275638951795535	0.8132589432228421	0.8250567997403441	0.8060790273556231	0.7906053589149851	0.7954037663581232	0.8312123241795043	0.7882573391630231	0.8250825082508251	0.8783733826247689	0.7992744860943168	0.8170504044803982	0.8329230769230769	0.8114369501466275	0.8100787401574803	0.816423589093215	0.8177474402730376	0.8088495575221238	0.8070274865400964	0.791693705386113	0.8265144307009198	0.8029465930018416	0.8293471234647706	0.8009049773755657	0.8089637635092181	0.7785296831744078	0.7880837359098228	0.7880794701986755	0.781559405940594	0.8074962518740629	0.7892271662763466	0.8032185206098249	0.7889105058365758	0.8298188298188298	0.8131553860819828
MO18_010	0.7900172117039587	0.8015647226173542	0.8184605949095369	0.7835738068812431	0.8884744498321522	0.8206873086083702	0.7474062250598563	0.8157197527229909	0.7684946632315053	0.0	0.7975921745673439	0.8127265404752316	0.8045505408429691	0.7505413598960589	0.8003369839932604	0.7657772130453198	0.828125	0.805189921022941	0.8411247803163444	0.8020872158032054	0.8172715894868585	0.8295795795795796	0.8642649199417758	0.836665248830285	0.8433333333333334	0.8403865378207265	0.8236489232019504	0.8239905919247354	0.8071428571428572	0.8622028141678797	0.8796473744729781	0.8608058608058609	0.8735979292493529	0.825366229760987	0.8770322199231452	0.8280116110304789	0.868346344925479	0.8102334823646299	0.8140477262494372	0.8628464067637388	0.8783308195072901	0.8363384188626907	0.8845218800648298	0.8608519269776876	0.864423076923077	0.9279132791327913	0.817463453180561	0.8459743290548425	0.8415233415233415	0.875452196382429	0.8353566009104704	0.8098747236551216	0.8792169929196169	0.8612040133779264	0.8288702928870293	0.8522078702313007	0.8275471698113207	0.8477433387710712	0.8111067657411029	0.8228617754357519	0.8284433577832111	0.8486568293605751	0.856314145470772	0.8539872706851367	0.8347140039447731	0.9001782531194296	0.8420833333333333	0.8313758389261745	0.8265348166460651	0.8362068965517241	0.8477851083883129	0.8393800634026065	0.8532016348773842	0.8164328657314629	0.8289908256880734	0.8312838170191835	0.8648180242634316	0.8381918039712717	0.872539831302718	0.8266351457840819	0.8354085603112841	0.8626986810957051	0.8021748222501046	0.8155721588674794	0.8237354085603112	0.8269923908690429	0.8242087254063302	0.8427499012248123	0.8633225954901058	0.8576761549230051	0.82865521575199	0.8366300366300367	0.8367166813768756	0.8431026884089907	0.8590425531914894	0.846593227254182	0.8344312692138779	0.8370402053036784	0.8504709576138147	0.8280898876404494	0.8431924882629108	0.8205128205128205	0.8324915824915825	0.8321995464852607	0.8419553868058851	0.8285214348206474	0.831390507910075	0.8484342379958246	0.8362251375370292	0.844313890054553	0.8272692454998085	0.8137755102040817	0.8231485228652368	0.8435434111943587	0.8110453648915187	0.8402927249246663	0.8743509865005192	0.8340840840840841	0.8312101910828026	0.8462751281040599	0.82959970620639	0.819140308191403	0.8392712550607287	0.8328840970350404	0.8363903154805576	0.8372739916550765	0.8339453284373725	0.8456211812627291	0.8321785989222479	0.8326980093180856	0.8250188964474678	0.8274318274318274	0.8126195028680688	0.820919820919821	0.8223892405063291	0.8157286044718581	0.8251510574018127	0.8260127931769723	0.8380985187736824	0.8129913115432355	0.8347232752084913	0.8236982369823698
