MO_004	200023660	200004964
MO_005	168576412	168561172
MO_007	222228436	222160814
MO_010	235767838	235718514
MO_034	204307312	204265724
MO_035	189754812	189714592
MO_039	170897968	170854532
MO_042	188322454	188245052
MO_046	242504886	242467494
MO_071	177890370	177871088
MO_073	171677364	171666644
MO_074	198311842	198239308
MO_077	212114334	212101902
MO_082	194694708	194683030
MO_098	191207404	191192506
MO_102	166606110	166599040
MO_103	199186178	199112586
MO_106	225870722	225741060
MO_133	193469484	193452788
MO_135	272781870	272717042
MO_138	174705896	174683304
MO_140	168298880	168288246
MO_167	212050134	211943942
MO_170	264806136	264708624
MO_180	233639946	233589058
MO_184	264580164	264456404
MO_188	207942902	207873516
MO_192	264729892	264624116
MO_197	181214610	181190328
MO_199	161887488	161825630
MO_202	220446594	220390378
MO_207	186008572	185980280
MO_226	192567096	192536472
MO_231	204369288	204285722
MO_234	200548408	200480924
MO_236	203213194	203199906
sampleID	totalreads	filteredreads
