,MO_004,MO_005,MO_007,MO_010,MO_034,MO_035,MO_039,MO_042,MO_046,MO_071,MO_073,MO_074,MO_077,MO_082,MO_098,MO_102,MO_103,MO_106,MO_133,MO_135,MO_138,MO_140,MO_197,MO_199,MO_202,MO_207,MO_226,MO_231,MO_234,MO_236
MO_004,0,0.0201558945722517,0.0730220443346523,0.0648494291919573,0.0361522640893106,0.0898863711874543,0.0822624390337744,0.0570814249077611,0.0241906042197929,0.0340162455210337,0.0340484783723544,0.0535399253792897,0.0242989174593424,0.027856819298231,0.039716425660421,0.0340377903374331,0.047007629546567,0.0833228461043495,0.041754428875392,0.0841659339035527,0.0313824371899513,0.0415125666298259,0.0384542904178948,0.0631505005528473,0.0443412633066896,0.0397397906833094,0.0641090140664947,0.080802675741244,0.0867686895539574,0.0368717539186141
MO_005,0.0201558945722517,0,0.0742943155649614,0.0688451291774418,0.0414905391694478,0.0947899091286738,0.0905254240825269,0.0608447570160451,0.0308025918089725,0.0293143508863574,0.031804336709669,0.0596552040908637,0.0228667848612675,0.0277968027812891,0.048947815797338,0.0435054277960583,0.0534215798715262,0.0897894334843519,0.0379277511963117,0.0830646709701607,0.0268926919335097,0.0354937140039367,0.0386113186783723,0.0634027281362305,0.0471090766527248,0.0403192432131732,0.0640616103865582,0.0812373147296983,0.0875531947757936,0.0404099534987882
MO_007,0.0730220443346523,0.0742943155649614,0,0.0398101078559586,0.0853857547350669,0.140614399840711,0.0628052571026708,0.0484621606202045,0.0748892905947892,0.0752894687281912,0.0714267103771983,0.0794058284240858,0.0676399553781427,0.0755958865015398,0.0925077577819863,0.0857859830716997,0.0646786556029813,0.0661478109331115,0.0919498696787683,0.0728688330228846,0.0818998914736427,0.0863410471537437,0.0892056247723133,0.0608340165671125,0.0553585311837943,0.0872673444176358,0.113435420681017,0.0682143736258125,0.0823968356481535,0.0805773488934628
MO_010,0.0648494291919573,0.0688451291774418,0.0398101078559586,0,0.0742381613014858,0.128096451578099,0.0492140854046198,0.0418141620001504,0.0642375272842751,0.07251421417885,0.0654794487491026,0.0686416235511918,0.0630810679736154,0.0702621650190395,0.0827640930647145,0.0761779419133932,0.0523641791643341,0.0600914806595673,0.0895433969164429,0.0641869517161011,0.0777964489664614,0.086800394171549,0.0828897764818537,0.0520734533618716,0.0434281262918549,0.0788294836603304,0.104340309350941,0.0550488175754347,0.0700819695542322,0.0691713888190538
MO_034,0.0361522640893106,0.0414905391694478,0.0853857547350669,0.0742381613014858,0,0.0744080169713886,0.0820898458825024,0.0606218777805076,0.0245498311624595,0.0391989222843543,0.0344770946773078,0.0545925628219204,0.0435747371083949,0.0521177964240875,0.042097990011259,0.0406198098687379,0.0532935668548224,0.0782171316233057,0.051486488361197,0.0806583543217042,0.0409949267669205,0.0579369010995762,0.0343550006828369,0.0600324371112027,0.0490056522183393,0.0299621636893005,0.0422299712495865,0.0792501167510406,0.0728182409697418,0.0315219700062556
MO_035,0.0898863711874543,0.0947899091286738,0.140614399840711,0.128096451578099,0.0744080169713886,0,0.12758778302982,0.116274303752085,0.0882043170031772,0.0994558524480928,0.0999977501115327,0.101178409345857,0.101749407478688,0.0988219100677257,0.0811479042799911,0.0853274623427253,0.107659628217936,0.127365215316786,0.0987939419056662,0.13568201756853,0.0940470865518104,0.107986075187575,0.0753770519609092,0.118819530689576,0.108086164805132,0.0854832310282153,0.0717255166494204,0.131037128622266,0.125611341589764,0.0896575015568959
MO_039,0.0822624390337744,0.0905254240825269,0.0628052571026708,0.0492140854046198,0.0820898458825024,0.12758778302982,0,0.0526277192785689,0.0771271643742807,0.0930682193183227,0.0864848318905738,0.0700265850096549,0.0859717612679658,0.0926009591040558,0.0849607524266935,0.0824071116754965,0.0682986421372115,0.0531233626768076,0.102654979204553,0.0788017014219673,0.0963098860702004,0.105426963023761,0.0975850152962244,0.0722341258265777,0.0689601420347495,0.0955922609998191,0.111438023027004,0.0826191853183422,0.0818348379981148,0.0877395216064883
MO_042,0.0570814249077611,0.0608447570160451,0.0484621606202045,0.0418141620001504,0.0606218777805076,0.116274303752085,0.0526277192785689,0,0.0522023177014874,0.0581994175062981,0.0526067238286744,0.0499999300527449,0.0540012627811122,0.0666818142234159,0.066811765984799,0.0615208739270054,0.0414431947451855,0.0532361327747041,0.0737951372691292,0.0611673736546739,0.0652270683360197,0.0737693461160533,0.0719913296071254,0.0429995551468668,0.0371470566222589,0.0665659451790662,0.0903170767646774,0.0647978361998432,0.064663206612472,0.0621383692377263
MO_046,0.0241906042197929,0.0308025918089725,0.0748892905947892,0.0642375272842751,0.0245498311624595,0.0882043170031772,0.0771271643742807,0.0522023177014874,0,0.0323438475343605,0.0267744930983572,0.0493597336342694,0.0297888240176831,0.0405678538906264,0.0406235476715793,0.0355970602037797,0.0436409684023897,0.07412804117731,0.047505768907815,0.0753122592966645,0.0362091795780598,0.0501395965996929,0.0389230708610196,0.0551546415789412,0.0409908364948176,0.0320894466220046,0.0556200235488873,0.0744062800392336,0.0728583201375724,0.0277737540941265
MO_071,0.0340162455210337,0.0293143508863574,0.0752894687281912,0.07251421417885,0.0391989222843543,0.0994558524480928,0.0930682193183227,0.0581994175062981,0.0323438475343605,0,0.0198225840202048,0.0549951978359281,0.0264369376503245,0.041558245493263,0.052714231822546,0.0487220751757515,0.0509501891343421,0.0856144240399578,0.0343579951566161,0.067730922438874,0.0256026215458004,0.0327147873123526,0.037011917286083,0.0516703332611147,0.0435079122384259,0.032427087911963,0.0554672009560133,0.0791879943129385,0.0742415180416606,0.0393459570795117
