	976	1090	1117	1224	1239	1297	32066	40117	57723	62680	67819	74152	74201	95818	142182	200783	200795	200918	200930	200938	200940	201174	203682	203691	204428	508458	544448	1134404	1618330	1618339	1619053	1752717	1752718	1752719	1752720	1752722	1752723	1752725	1752728	1752730	1752731	1752732	1752737	1936987	NA
MO_004	3326	30	2270	38530	1973	80	30	155	1525	13	90	66	818	15	51	97	1311	120	79	7	41	3801	3086	768	64	114	118	98	41	12	41	0	24	4	13	36	7	0	53	2	49	15	21	43	4301
MO_005	2744	45	1946	34222	1629	47	18	103	1197	6	62	50	679	15	42	58	925	102	55	5	33	2585	2224	711	74	108	156	78	36	3	36	0	15	8	3	26	7	1	41	1	46	12	19	24	3480
MO_007	3830	27	1679	29193	1442	45	25	132	1014	1	59	60	940	21	47	52	872	90	44	18	38	1960	1779	498	73	77	221	93	46	3	31	1	12	8	5	55	2	2	39	2	28	3	25	48	3796
MO_010	5132	25	2188	34906	2088	60	35	168	1482	10	56	83	1127	26	69	105	1720	107	57	11	73	2632	2533	590	122	142	230	131	48	7	55	0	25	16	6	54	0	3	50	11	52	7	47	48	5226
MO_034	3631	31	2634	30037	1695	48	28	97	1087	7	61	36	775	21	40	78	1046	107	59	9	25	4310	2817	590	129	86	78	78	53	3	55	0	11	8	13	46	1	1	57	11	75	9	21	59	3561
MO_035	2188	18	1402	23439	1929	34	36	78	1223	4	122	42	1077	37	32	75	1091	125	96	9	19	8172	5856	516	105	70	66	58	54	16	20	1	19	6	14	24	3	0	35	5	33	6	15	2	3110
MO_039	2076	22	876	15439	969	43	11	188	708	5	25	44	551	4	33	38	653	62	42	3	22	1488	1394	301	60	53	63	40	45	2	27	1	11	2	10	29	1	1	24	1	22	10	15	44	2486
MO_042	3200	28	1255	22019	1088	36	44	83	782	7	40	36	565	19	24	60	704	64	48	5	32	2188	1422	388	80	54	77	52	32	6	25	0	12	7	10	20	7	2	26	3	16	7	27	38	2831
MO_046	4517	49	3218	39229	2162	73	22	174	1541	9	79	69	864	23	54	93	1328	153	110	9	40	4346	3118	758	131	102	103	103	58	5	56	0	23	5	10	38	3	0	71	6	61	17	39	90	4779
MO_071	3885	28	3112	35774	1578	31	26	85	859	7	45	47	595	11	32	65	767	100	74	5	24	3326	2313	617	70	98	162	87	45	4	39	0	18	5	6	18	5	1	55	4	45	8	17	44	3029
MO_073	3441	28	3171	32381	1562	35	24	84	952	2	42	51	678	19	39	51	959	115	57	7	26	2858	2040	613	47	75	169	67	53	5	39	2	23	7	9	23	8	0	55	12	54	6	19	50	3198
MO_074	5077	29	4784	40603	1860	71	31	157	1153	3	55	71	1260	18	47	74	1136	139	55	11	39	3211	3703	585	96	103	176	74	51	13	63	0	25	0	12	51	3	2	34	9	62	10	33	71	4281
MO_077	3921	29	2950	41938	2162	68	39	177	1353	8	46	72	783	15	59	66	1406	136	85	10	44	3622	2804	845	73	133	128	113	47	4	65	0	27	3	13	31	5	0	66	6	64	16	20	62	4519
MO_082	2731	45	1512	37531	2207	75	38	147	1347	7	64	83	774	23	56	103	1352	116	105	9	54	3682	2798	854	64	117	216	122	59	8	37	0	12	7	7	22	10	1	63	1	34	11	20	30	4612
MO_098	3025	39	2455	32960	2139	78	46	146	1301	5	71	73	888	37	54	91	864	116	88	10	43	4796	3051	730	93	116	68	66	49	4	50	0	19	3	9	12	3	0	37	3	61	14	16	33	3964
MO_102	2633	34	2293	29420	1876	55	33	128	1252	3	54	79	801	21	39	62	865	118	83	12	46	4204	2438	695	72	109	85	89	57	5	44	0	21	5	9	34	5	0	38	8	50	4	17	43	3922
MO_103	4603	32	4356	40879	2145	70	35	163	1484	8	53	90	1242	30	48	109	1413	155	70	13	45	3620	3215	735	94	103	91	106	67	4	43	0	31	7	16	69	7	5	74	8	69	9	37	87	5229
MO_106	3472	16	2221	16368	1003	39	21	101	638	1	25	32	594	13	26	34	639	66	33	1	16	1598	1487	327	68	47	53	53	37	6	25	2	19	8	6	16	2	3	19	5	30	7	17	37	2480
MO_133	3223	31	2567	42714	1553	56	30	109	838	10	46	43	799	15	26	52	648	87	71	5	31	2782	2818	554	99	110	123	96	30	9	36	0	9	1	9	21	2	4	40	4	50	6	27	46	3305
MO_135	7203	41	6802	42835	1387	48	45	65	757	7	24	70	1107	11	9	44	538	108	49	14	25	2236	2630	570	70	84	122	56	50	4	53	0	5	0	15	45	3	0	27	6	81	15	27	85	3231
MO_138	3061	25	2114	36727	1511	53	23	105	917	9	43	55	627	8	40	75	883	82	47	11	35	2826	2582	596	75	82	122	80	34	10	30	0	15	6	8	14	3	3	45	1	44	23	33	47	3314
MO_140	2599	20	1976	38492	1388	26	18	95	710	7	42	46	576	13	31	71	616	89	48	3	25	2280	2359	545	74	69	150	57	30	3	37	0	17	6	5	12	6	3	63	3	43	11	11	36	2917
MO_167	5260	30	13401	39171	2072	57	58	171	1283	5	61	87	637	47	91	156	1850	140	45	7	58	5674	2099	554	69	138	58	170	63	31	38	3	44	4	10	85	4	7	126	11	69	9	42	5	4421
MO_170	6853	47	3489	57413	3300	107	75	230	2635	15	179	141	1431	43	116	141	2474	192	120	14	56	6084	4577	1129	146	153	171	188	107	16	105	5	46	16	25	78	11	3	75	12	73	21	65	24	8050
MO_180	5803	40	2884	50126	2789	69	60	242	2280	17	114	126	1021	18	141	121	3007	167	127	18	48	3535	4005	1033	150	114	212	175	104	9	59	1	27	16	17	73	5	8	100	21	84	26	41	16	6805
MO_184	1784	8	1745	12039	734	15	19	59	542	4	38	34	306	5	23	32	724	43	43	1	7	1433	1004	261	23	25	72	68	17	5	24	1	12	7	4	35	4	4	19	2	11	5	14	3	1986
MO_188	5231	50	19354	35434	1949	179	18	91	949	17	110	64	622	12	28	45	911	76	65	9	22	4458	1938	539	65	66	111	80	41	6	50	1	28	5	10	48	5	1	26	5	82	6	20	3	3527
MO_192	5258	28	9067	34246	1677	61	41	125	1052	12	68	58	875	13	36	70	1369	94	53	13	29	5157	2300	436	277	68	136	82	70	16	52	0	34	2	10	70	13	2	34	4	38	14	49	18	3729
MO_197	3197	15	1881	32772	1713	54	30	105	1161	4	59	46	1091	34	23	90	1004	111	55	13	21	4206	3344	554	60	98	109	139	41	2	42	0	8	32	11	19	2	0	24	6	34	7	17	11	3504
MO_199	4926	22	3376	28020	1145	24	32	74	795	6	33	46	621	19	27	55	658	76	38	3	14	1954	1891	554	59	65	134	114	34	15	36	0	12	6	6	42	1	0	31	6	26	6	20	38	2856
MO_202	6921	25	3539	43582	2024	43	31	148	1479	13	58	53	1191	25	52	89	1180	125	64	13	39	2794	3150	790	96	119	188	157	59	7	46	0	35	14	12	54	4	7	38	3	56	10	25	43	5057
MO_207	4208	31	3333	34125	1684	43	40	86	1148	10	58	61	836	14	41	79	975	96	81	5	25	4388	2960	679	98	72	124	169	61	5	53	2	14	22	5	19	3	4	37	1	52	15	19	32	3585
MO_226	3910	28	3474	28986	1396	43	23	95	734	2	38	37	887	28	17	55	758	82	46	10	27	4810	3259	451	89	67	89	99	21	7	54	0	15	10	6	18	1	0	36	3	60	6	23	31	2981
MO_231	5949	27	3033	26492	1724	64	43	105	758	11	32	58	1062	7	34	57	1283	124	69	13	29	1754	1783	592	131	71	244	117	45	9	61	0	21	1	22	41	3	10	53	6	54	14	30	42	4640
MO_234	7340	29	5229	30194	1402	52	59	82	618	6	41	59	1190	23	30	61	821	83	40	8	16	2232	2023	520	87	47	159	75	37	5	57	0	11	2	8	27	11	0	38	10	72	12	37	120	3538
MO_236	4751	39	3773	35080	2046	58	35	108	1190	8	66	69	960	14	41	66	1342	112	86	16	45	3910	3035	746	98	110	135	121	54	8	61	1	13	8	6	29	1	1	84	3	69	7	42	43	4428
