	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
88	4.73649310050838e-05	0	0	0	0	0	0	0	0	1.74929153692754e-05	0	0	0	0	0	3.85646246697904e-05	0	0	0	2.83270069684437e-05	1.77166749344483e-05	0	5.10067456421112e-05	9.97496284326341e-06	0	0	0	0	0	0	2.72264423207819e-05	3.3671167379373e-05	0	0	0	0
89	0	0	0	0	0	1.95000195000195e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	0	0	0	0	0	0	0	0	1.47627624081018e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	1.86299532388174e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73232165748536e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	1.62435228952455e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58390749980201e-05	0	0	0	0	0	0	4.3021855102392e-05	0	0	0	0	0	0	0	0	0	0
96	0	0	0	0	0	3.9000039000039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17397111611988e-05	0	0	0	0	0	0
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49575206413785e-05	0	0	0	0	0	0	0	0
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85646246697904e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	1.57883103350279e-05	0	2.0645800644149e-05	0	0	0	0	0	0	0	0	0	0	0	1.73232165748536e-05	0	1.41304808602637e-05	0	0	0	8.85833746722415e-05	0	0	0	0	0	1.30963762326964e-05	0	0	0	0	0	0	0	0	0
