contigName	contigLen	totalAvgDepth	MO_199.MO_004.sorted.bam	MO_199.MO_004.sorted.bam-var	MO_199.MO_005.sorted.bam	MO_199.MO_005.sorted.bam-var	MO_199.MO_007.sorted.bam	MO_199.MO_007.sorted.bam-var	MO_199.MO_010.sorted.bam	MO_199.MO_010.sorted.bam-var	MO_199.MO_034.sorted.bam	MO_199.MO_034.sorted.bam-var	MO_199.MO_035.sorted.bam	MO_199.MO_035.sorted.bam-var	MO_199.MO_039.sorted.bam	MO_199.MO_039.sorted.bam-var	MO_199.MO_042.sorted.bam	MO_199.MO_042.sorted.bam-var	MO_199.MO_046.sorted.bam	MO_199.MO_046.sorted.bam-var	MO_199.MO_071.sorted.bam	MO_199.MO_071.sorted.bam-var	MO_199.MO_073.sorted.bam	MO_199.MO_073.sorted.bam-var	MO_199.MO_074.sorted.bam	MO_199.MO_074.sorted.bam-var	MO_199.MO_077.sorted.bam	MO_199.MO_077.sorted.bam-var	MO_199.MO_082.sorted.bam	MO_199.MO_082.sorted.bam-var	MO_199.MO_098.sorted.bam	MO_199.MO_098.sorted.bam-var	MO_199.MO_102.sorted.bam	MO_199.MO_102.sorted.bam-var	MO_199.MO_103.sorted.bam	MO_199.MO_103.sorted.bam-var	MO_199.MO_106.sorted.bam	MO_199.MO_106.sorted.bam-var	MO_199.MO_133.sorted.bam	MO_199.MO_133.sorted.bam-var	MO_199.MO_135.sorted.bam	MO_199.MO_135.sorted.bam-var	MO_199.MO_138.sorted.bam	MO_199.MO_138.sorted.bam-var	MO_199.MO_140.sorted.bam	MO_199.MO_140.sorted.bam-var	MO_199.MO_167.sorted.bam	MO_199.MO_167.sorted.bam-var	MO_199.MO_170.sorted.bam	MO_199.MO_170.sorted.bam-var	MO_199.MO_180.sorted.bam	MO_199.MO_180.sorted.bam-var	MO_199.MO_184.sorted.bam	MO_199.MO_184.sorted.bam-var	MO_199.MO_188.sorted.bam	MO_199.MO_188.sorted.bam-var	MO_199.MO_192.sorted.bam	MO_199.MO_192.sorted.bam-var	MO_199.MO_197.sorted.bam	MO_199.MO_197.sorted.bam-var	MO_199.MO_199.sorted.bam	MO_199.MO_199.sorted.bam-var	MO_199.MO_202.sorted.bam	MO_199.MO_202.sorted.bam-var	MO_199.MO_207.sorted.bam	MO_199.MO_207.sorted.bam-var	MO_199.MO_226.sorted.bam	MO_199.MO_226.sorted.bam-var	MO_199.MO_231.sorted.bam	MO_199.MO_231.sorted.bam-var	MO_199.MO_234.sorted.bam	MO_199.MO_234.sorted.bam-var	MO_199.MO_236.sorted.bam	MO_199.MO_236.sorted.bam-var
MO_199.c_0	104095	46.1518	0.0246958	0.0512109	0.384925	0.521703	0.0101496	0.0302908	0.286998	0.644987	0.676204	1.2731	0.0405984	0.0577233	0	0	0.00726346	0.0145546	0.508442	0.840014	0.0392227	0.0767183	0.0348646	0.0747258	0.0252153	0.0465656	0.0116215	0.0202626	0.15208	0.268371	0.00581077	0.0115591	0.00290538	0.00289026	0.100236	0.306436	1.31885	6.89006	1.12514	2.01614	4.06925	52.5506	1.68033	2.54846	0.524393	0.769792	0.00290538	0.0029011	0.00581077	0.00577726	0.0493915	0.235136	0	0	0.0101688	0.0202963	0.0234259	0.0426059	4.35005	13.9996	21.1199	44.7139	1.38302	3.20332	7.97671	33.013	0.0203377	0.0414587	0.110376	0.942747	0.0617249	0.241301	0.00871615	0.0115539
MO_199.c_1	94163	45.5823	0.000819036	0.00234948	0.635284	0.916024	0.00108496	0.00408234	0.425845	0.977599	0.927233	1.59147	0.128801	0.305247	0.00370162	0.0131848	0	0	0.90396	1.53856	0.0137321	0.0649195	0.00359525	0.0356942	0	0	0.00163807	0.00735564	0.19525	0.258036	0.00156361	0.00734546	0.000925404	0.00256187	0.00543542	0.0156317	0.0436535	0.0765492	0.669493	0.947711	0.187283	0.67106	1.64346	2.19001	0.424601	0.503502	0.00105305	0.00183803	0	0	0	0	0	0	0.00143597	0.007176	0.000553115	0.00106311	6.20268	8.94546	20.6378	41.4017	1.30317	1.95874	11.1961	15.8837	0.0035527	0.0386518	0.00228692	0.0150626	0.0040739	0.046122	0.0122111	0.0346552
MO_199.c_2	75362	47.3692	0.00200766	0.00200026	0.555789	0.727013	0.0120459	0.0335201	0.393461	1.04489	0.837021	1.0947	0.0501782	0.0519007	0	0	0.00803063	0.00815017	0.734803	1.12103	0.0180689	0.0182388	0.00401532	0.00675037	0.0160613	0.0251239	0	0	0.244934	0.350858	0	0	0	0	0.0127772	0.0216414	0.160799	0.606303	0.746649	1.101	0.551787	5.29217	1.66037	2.34345	0.398899	0.532166	0	0	0	0	0.00200766	0.0019997	0	0	0.00200766	0.00199988	0.00401532	0.00789501	6.05342	9.68303	22.0862	66.5945	1.52865	2.78647	11.2567	20.1344	0.00200766	0.00199993	0.0120459	0.0224393	0.00841621	0.00833584	0.00602297	0.00598192
MO_199.c_3	67414	21.2771	0.020204	0.0339162	0	0	0.0224489	0.0808686	0.0224489	0.0947786	0.080801	0.193946	0.00673466	0.00709224	0.00224489	0.00223708	0.00991615	0.0407074	0.0516324	0.0909497	0.952203	1.75722	1.01589	2.23734	0.199379	0.503595	0.478161	0.711468	0.0897806	0.129353	0.020204	0.0214939	0.020204	0.0244926	0.0448977	0.0898265	0.0246937	0.0899192	0.0939433	0.247678	1.19159	6.99869	0.0651017	0.117003	0.078571	0.22542	0.0112244	0.0315609	0.00166508	0.00166066	0.0134693	0.0360739	0	0	0	0	0.0198918	0.0443643	0.575672	0.814066	12.5272	20.057	2.08321	3.7947	1.16306	1.74149	0.186326	0.330106	0.0493875	0.155064	0.125714	0.859932	0.0291835	0.0516501
MO_199.c_4	63450	45.7889	0.0286098	0.0424208	0.374076	0.695584	0.0119273	0.0156077	0.264186	0.627679	0.723033	1.73173	0.0286256	0.0278203	0.00238547	0.0023779	0	0	0.562133	1.3535	0.0145814	0.0218052	0.0300632	0.0754	0.0680727	0.242125	0.00238547	0.00237911	0.159826	0.230111	0.0071564	0.00710549	0.00477093	0.0095165	0.0934913	0.29345	1.3627	6.507	1.02705	1.68324	4.87412	57.0055	1.49487	2.23778	0.546572	0.867224	0	0	0	0	0.0415008	0.149566	0.00635071	0.00782831	0.00238547	0.00237791	0.00917851	0.012436	4.42316	16.9167	20.294	46.061	1.47588	4.20985	7.69276	41.6872	0.0163665	0.0299955	0.0958926	0.829294	0.0412322	0.163327	0.00954186	0.00944795
MO_199.c_5	62343	49.8139	0.0121396	0.0168273	0.565691	0.978267	0.0267072	0.0461111	0.417378	0.898313	0.828035	1.27044	0.0874053	0.129162	0	0	0	0	0.832779	1.18	0.179634	0.626327	0.0704099	0.20601	0.126236	0.337192	0.00242793	0.00241647	0.202949	0.340057	0	0	0	0	0.0437027	0.112513	0.256379	0.952239	0.776936	1.10979	1.1134	12.4047	1.74566	2.68775	0.352049	0.456219	0	0	0	0	0.0146158	0.0438262	0	0	0	0	0.00652807	0.00808305	5.77367	10.8811	22.6485	63.3071	2.23475	8.63498	10.789	19.4597	0.0825334	0.265826	0.495699	6.94908	0.123824	0.56739	0.00485585	0.00483849
MO_199.c_6	61838	19.7937	0.0048956	0.0048767	0.00487939	0.00485854	0.00975879	0.0141495	0.0146382	0.0241633	0.0293088	0.0491002	0.00380949	0.00379579	0.0024478	0.00244017	0	0	0.0219978	0.0436944	0.937492	1.5903	0.760796	1.2227	0.0831442	0.240576	0.327924	0.634257	0.0734016	0.104671	0.0293574	0.0493737	0	0	0.0316593	0.180176	0.00732719	0.00954635	0.018399	0.0299371	0.891486	3.85954	0.043947	0.118282	0.0195338	0.0396567	0.107476	2.87292	0.00734341	0.0110561	0.0171346	0.0461882	0.0024478	0.00243924	0.0109422	0.0406636	0.0590877	0.790685	0.520669	0.811461	12.4359	19.8587	1.92708	3.6058	1.17156	1.60979	0.149316	0.193754	0.022014	0.0722076	0.034253	0.0907084	0.012239	0.016974
MO_199.c_7	59294	31.3487	0.559127	16.4388	0.168487	1.4799	0.0764913	0.33245	0.0816989	0.56703	0.084252	0.234939	0.0178716	0.0262424	0.0127655	0.0150402	0.0357433	0.0634111	0.242527	2.57582	1.21777	2.67167	2.16497	99.202	0.180001	0.856277	0.911335	6.66594	0.084252	0.136786	0.0918944	0.296193	0.0229778	0.0261734	0.0435716	0.138141	0.0756459	0.487208	1.83036	169.211	2.52785	211.47	1.46037	111.094	1.50364	120.379	0.0242121	0.114788	0.0306371	0.0766128	0.00765927	0.022917	0.00255309	0.00254624	0.156381	2.13986	0.027171	0.04743	0.700967	1.1898	12.8355	25.5207	2.20354	4.70598	1.34032	2.95638	0.191482	0.461483	0.112336	0.33233	0.136007	0.562629	0.186376	1.38189
MO_199.c_8	57995	44.7424	0.00522085	0.00557648	0.618653	0.948653	0.0156625	0.0344681	0.360913	1.07373	0.873247	1.2872	0.0965857	0.101429	0	0	0	0	0.733529	1.11687	0.0417668	0.14602	0.0156625	0.0287628	0.0287147	0.046833	0	0	0.232328	0.35237	0	0	0	0	0.0104417	0.0207793	0.0626502	0.170289	0.892627	1.34833	0.287147	0.914237	1.50355	2.15023	0.307995	0.40173	0	0	0.00261042	0.00260056	0	0	0	0	0	0	0	0	5.9657	8.16004	19.6939	41.5317	1.35728	2.30026	11.511	16.7839	0.0156625	0.0334655	0.080854	0.769816	0.0287147	0.0727194	0	0
MO_199.c_9	56257	46.3985	0.0107651	0.0252298	0.618942	0.766748	0.00269129	0.00268404	0.551625	1.28343	0.811699	1.20105	0.0699734	0.0906986	0.00538257	0.0101984	0	0	0.815424	1.17619	0.056517	0.267274	0.0134564	0.0517101	0.0117811	0.0305325	0	0	0.27182	0.414002	0	0	0	0	0.0376245	0.169794	0.0942307	0.184083	0.683587	0.940086	0.243018	1.48851	1.66125	2.13337	0.317358	0.401805	0	0	0.00538257	0.00535385	0.0484432	0.537054	0	0	0.00269129	0.00268327	0.0161299	0.0303412	5.80158	8.40396	21.9551	52.0466	1.72497	3.71561	10.4703	15.5595	0.00269129	0.00268327	0.0779582	1.15428	0.0160942	0.0674505	0	0
