contigName	contigLen	totalAvgDepth	MO_073.MO_004.sorted.bam	MO_073.MO_004.sorted.bam-var	MO_073.MO_005.sorted.bam	MO_073.MO_005.sorted.bam-var	MO_073.MO_007.sorted.bam	MO_073.MO_007.sorted.bam-var	MO_073.MO_010.sorted.bam	MO_073.MO_010.sorted.bam-var	MO_073.MO_034.sorted.bam	MO_073.MO_034.sorted.bam-var	MO_073.MO_035.sorted.bam	MO_073.MO_035.sorted.bam-var	MO_073.MO_039.sorted.bam	MO_073.MO_039.sorted.bam-var	MO_073.MO_042.sorted.bam	MO_073.MO_042.sorted.bam-var	MO_073.MO_046.sorted.bam	MO_073.MO_046.sorted.bam-var	MO_073.MO_071.sorted.bam	MO_073.MO_071.sorted.bam-var	MO_073.MO_073.sorted.bam	MO_073.MO_073.sorted.bam-var	MO_073.MO_074.sorted.bam	MO_073.MO_074.sorted.bam-var	MO_073.MO_077.sorted.bam	MO_073.MO_077.sorted.bam-var	MO_073.MO_082.sorted.bam	MO_073.MO_082.sorted.bam-var	MO_073.MO_098.sorted.bam	MO_073.MO_098.sorted.bam-var	MO_073.MO_102.sorted.bam	MO_073.MO_102.sorted.bam-var	MO_073.MO_103.sorted.bam	MO_073.MO_103.sorted.bam-var	MO_073.MO_106.sorted.bam	MO_073.MO_106.sorted.bam-var	MO_073.MO_133.sorted.bam	MO_073.MO_133.sorted.bam-var	MO_073.MO_135.sorted.bam	MO_073.MO_135.sorted.bam-var	MO_073.MO_138.sorted.bam	MO_073.MO_138.sorted.bam-var	MO_073.MO_140.sorted.bam	MO_073.MO_140.sorted.bam-var	MO_073.MO_167.sorted.bam	MO_073.MO_167.sorted.bam-var	MO_073.MO_170.sorted.bam	MO_073.MO_170.sorted.bam-var	MO_073.MO_180.sorted.bam	MO_073.MO_180.sorted.bam-var	MO_073.MO_184.sorted.bam	MO_073.MO_184.sorted.bam-var	MO_073.MO_188.sorted.bam	MO_073.MO_188.sorted.bam-var	MO_073.MO_192.sorted.bam	MO_073.MO_192.sorted.bam-var	MO_073.MO_197.sorted.bam	MO_073.MO_197.sorted.bam-var	MO_073.MO_199.sorted.bam	MO_073.MO_199.sorted.bam-var	MO_073.MO_202.sorted.bam	MO_073.MO_202.sorted.bam-var	MO_073.MO_207.sorted.bam	MO_073.MO_207.sorted.bam-var	MO_073.MO_226.sorted.bam	MO_073.MO_226.sorted.bam-var	MO_073.MO_231.sorted.bam	MO_073.MO_231.sorted.bam-var	MO_073.MO_234.sorted.bam	MO_073.MO_234.sorted.bam-var	MO_073.MO_236.sorted.bam	MO_073.MO_236.sorted.bam-var
MO_073.c_0	112577	383.83	28.1867	58.8609	22.0735	39.2905	17.9232	47.4506	18.3986	55.561	15.3947	30.4938	8.54802	14.4035	3.80622	7.98956	5.45582	8.83187	19.1063	35.2497	14.6205	27.6904	14.2037	24.0516	3.36696	5.7112	18.5338	37.2425	18.3616	35.6418	12.9849	26.3329	16.0196	34.7058	6.42713	11.6486	4.2775	9.5702	12.9694	20.9053	4.21802	13.3769	13.4528	22.6513	16.6294	28.5644	1.01635	1.54196	5.86552	11.6114	5.6768	14.8555	0.735704	1.2086	2.29269	3.3031	0.542637	0.91212	14.3818	27.3713	6.27651	11.2662	11.7405	21.9879	11.5907	19.6519	5.34131	9.08652	9.17128	27.4601	1.84515	3.31663	12.3943	25.2201
MO_073.c_1	110886	434.789	32.6224	82.3609	24.6635	56.184	20.2875	58.2168	19.5574	59.0285	17.231	34.8653	9.7368	18.5095	4.0983	8.44489	5.92037	9.75007	21.8098	49.6406	16.924	33.4952	16.4923	29.1561	3.84809	13.1886	22.5715	52.3564	20.944	40.9427	14.8318	31.9155	17.6671	39.4199	6.79031	12.2285	4.71799	9.67934	14.6285	28.5584	4.24968	14.7648	15.5441	30.185	19.0264	40.5224	1.05825	1.72206	6.23096	12.3245	5.80489	15.9531	0.733546	1.27874	2.38083	3.68056	0.823951	1.48973	17.5294	41.0896	6.78062	11.8519	12.8132	26.2543	13.279	27.6418	6.25358	10.6596	10.2244	29.7835	2.26076	5.06494	14.453	26.402
MO_073.c_2	89768	429.095	33.2124	88.2838	24.7427	52.5726	19.5816	50.0198	19.7709	60.4823	17.1856	33.5814	9.25779	16.493	3.85205	8.27585	5.8566	10.642	21.8206	53.2481	16.5685	39.2766	16.0207	32.3852	3.30424	5.89752	20.9379	53.9109	20.3788	51.3374	14.6464	32.52	18.278	43.5922	7.02078	15.3092	4.68775	9.77774	14.7378	28.6861	4.35325	14.223	14.8969	33.387	18.183	38.257	1.08129	1.7558	5.87229	13.0815	6.30344	19.9972	0.869781	1.38497	2.40971	3.66251	0.696981	1.1749	17.0515	40.0656	7.1618	12.0098	12.6069	29.8374	13.4023	26.2667	6.07631	10.7642	9.91931	34.6341	2.47814	5.64453	13.8715	29.3215
MO_073.c_3	82453	629.808	35.9602	844.489	29.2185	882.365	27.3088	1785.25	29.8254	2301.08	18.248	199.856	9.01165	22.7298	7.08737	249.993	9.18002	314.009	25.3125	620.108	23.8843	1430.95	21.9534	1022.97	6.31932	315.061	29.9864	2242.75	29.1847	2142.55	16.9138	261.317	20.6719	416.736	16.2061	2085	6.83289	133.808	21.9282	1455.18	16.5721	2994.55	21.63	1115.7	26.7785	1871.48	7.64599	1337.35	12.643	1314.29	15.086	2819.66	3.78831	238.464	4.42749	213.59	3.7218	291.219	22.178	757.407	13.0482	919.983	23.6749	2954.45	18.0461	710.831	9.58293	308.331	18.2489	1893.87	8.42659	843.782	19.2759	918.241
MO_073.c_4	82130	385.265	28.8541	60.1279	21.7352	42.1825	18.5233	47.3326	18.9821	44.7383	15.1617	28.8816	8.1209	13.5683	3.62554	7.0381	5.40587	9.06473	19.1321	40.2401	14.3602	23.7481	14.0042	23.5318	3.4622	6.5492	19.0688	36.3749	18.5047	36.3382	12.9153	21.4052	15.8509	27.9506	6.27719	10.9562	4.36219	8.93503	12.7891	22.8276	4.20928	14.9166	13.8029	24.9169	16.3174	29.7634	0.940668	1.32733	5.81931	11.0385	5.67004	15.9846	0.761478	1.20491	2.29413	3.45689	0.673469	1.04556	14.3852	26.415	6.22962	10.5297	11.8313	23.7209	11.5148	23.462	5.07219	8.07915	9.41646	27.292	1.90636	3.89719	13.2852	25.197
MO_073.c_5	77865	402.732	30.4064	72.8335	23.3065	44.7929	18.9115	53.2279	18.2919	66.1475	16.1977	30.9725	9.25209	15.3141	4.03379	8.03827	5.6955	9.79928	19.9277	43.2729	15.2964	27.2734	15.3872	24.5525	3.13687	5.57754	19.913	40.0897	19.0613	37.9905	13.5695	25.5705	15.9293	33.3163	6.81852	12.9877	4.26489	8.76987	13.4001	24.1532	4.38835	15.7504	14.0845	27.5123	17.5462	31.2427	0.930837	1.52705	5.81843	12.0924	5.85586	15.9575	0.822544	1.15687	2.45537	3.48614	0.655112	1.05181	16.0395	30.9186	6.63596	12.6839	12.0667	24.3473	12.3169	22.0532	5.46731	8.91086	9.41732	25.8087	2.2279	4.6966	13.2029	25.038
MO_073.c_6	77612	130.733	0.00389869	0.00700512	0	0	0	0	0.00194934	0.00194228	0.00779737	0.00773687	0	0	0	0	0.0930004	0.146145	0.0915933	0.149647	79.4176	196.288	19.8276	45.3596	11.7541	35.9369	2.95304	4.93697	0	0	0.00194934	0.00194426	0.00194934	0.00194364	0.00584803	0.00805444	0.00974671	0.0249993	0.00389869	0.00777307	0.00779737	0.0154807	0.00194934	0.00194501	0.0214428	0.0341998	0	0	0	0	0	0	0	0	0.00584803	0.00581244	0	0	0	0	0.00389869	0.00387239	0	0	0.00194934	0.00194322	1.72696	2.58706	14.6999	66.3891	0.0228628	0.0462161	0.0662777	0.0854904
MO_073.c_7	75296	414.839	31.1258	68.7033	23.6738	51.1666	19.8876	52.1044	19.9672	68.8315	16.3217	30.1915	8.76812	16.7183	4.20109	9.73164	5.81429	10.0705	20.2431	40.9928	15.7619	27.0954	15.045	25.5709	3.49452	7.64463	19.8208	38.0895	20.4443	45.0065	14.488	29.4755	17.2898	36.3477	6.67707	11.6698	4.65201	10.8456	13.8886	27.0462	4.51509	17.5315	14.9055	27.9368	17.343	30.2346	1.0975	1.96167	5.70635	12.2898	5.29204	14.6602	0.67486	1.04349	2.24185	3.38678	0.773388	1.2352	16.7267	35.4503	6.88243	12.5248	12.6275	28.6292	12.4963	23.9754	6.10571	10.2398	10.1723	33.2	2.2488	4.48704	13.4652	25.2567
MO_073.c_8	70844	424.276	32.0041	79.9112	24.4078	46.8516	19.7908	61.0757	19.5613	64.5354	17.3597	34.7893	9.42745	17.116	4.12584	8.84594	5.85309	11.0526	21.6999	50.9613	16.2675	27.7927	16.3977	31.0825	3.57777	7.81117	21.1213	45.913	20.3887	44.9465	14.1167	28.5312	17.0539	33.2422	7.34672	13.2871	4.59674	9.51626	14.5244	25.0958	4.73708	17.8878	14.9431	26.9626	18.4461	33.6099	1.07658	1.90932	5.56184	11.039	5.08984	13.5137	0.743147	1.26318	2.03409	3.22397	0.616219	1.00426	16.5503	34.0275	6.70068	9.62189	12.942	28.1253	12.6497	21.8948	5.90108	8.51639	10.2725	29.8793	2.3313	5.29854	14.0591	25.502
MO_073.c_9	68840	408.217	31.1092	71.581	24.1547	52.1907	18.412	51.1407	20.0265	58.2216	15.9877	31.4684	9.42184	15.9236	3.85014	7.31856	5.58664	9.00007	20.5149	42.3654	15.4147	29.7112	15.2834	27.465	3.3842	5.93518	19.8881	42.9146	19.3331	43.2779	13.8044	28.647	17.0822	38.2256	6.47247	12.3328	4.08637	7.96456	14.0601	25.4693	4.30277	13.7862	14.7214	27.0908	17.8307	37.8411	1.03232	1.70915	6.09563	12.7312	5.73267	15.2671	0.771932	1.50568	2.49457	4.32672	0.797161	1.43593	15.4791	31.5758	6.37014	10.2752	12.4271	25.7954	12.0102	23.8213	5.32104	9.26535	9.64159	33.8114	2.17572	4.26983	13.14	28.1165
