contigName	contigLen	totalAvgDepth	MO_103.MO_004.sorted.bam	MO_103.MO_004.sorted.bam-var	MO_103.MO_005.sorted.bam	MO_103.MO_005.sorted.bam-var	MO_103.MO_007.sorted.bam	MO_103.MO_007.sorted.bam-var	MO_103.MO_010.sorted.bam	MO_103.MO_010.sorted.bam-var	MO_103.MO_034.sorted.bam	MO_103.MO_034.sorted.bam-var	MO_103.MO_035.sorted.bam	MO_103.MO_035.sorted.bam-var	MO_103.MO_039.sorted.bam	MO_103.MO_039.sorted.bam-var	MO_103.MO_042.sorted.bam	MO_103.MO_042.sorted.bam-var	MO_103.MO_046.sorted.bam	MO_103.MO_046.sorted.bam-var	MO_103.MO_071.sorted.bam	MO_103.MO_071.sorted.bam-var	MO_103.MO_073.sorted.bam	MO_103.MO_073.sorted.bam-var	MO_103.MO_074.sorted.bam	MO_103.MO_074.sorted.bam-var	MO_103.MO_077.sorted.bam	MO_103.MO_077.sorted.bam-var	MO_103.MO_082.sorted.bam	MO_103.MO_082.sorted.bam-var	MO_103.MO_098.sorted.bam	MO_103.MO_098.sorted.bam-var	MO_103.MO_102.sorted.bam	MO_103.MO_102.sorted.bam-var	MO_103.MO_103.sorted.bam	MO_103.MO_103.sorted.bam-var	MO_103.MO_106.sorted.bam	MO_103.MO_106.sorted.bam-var	MO_103.MO_133.sorted.bam	MO_103.MO_133.sorted.bam-var	MO_103.MO_135.sorted.bam	MO_103.MO_135.sorted.bam-var	MO_103.MO_138.sorted.bam	MO_103.MO_138.sorted.bam-var	MO_103.MO_140.sorted.bam	MO_103.MO_140.sorted.bam-var	MO_103.MO_167.sorted.bam	MO_103.MO_167.sorted.bam-var	MO_103.MO_170.sorted.bam	MO_103.MO_170.sorted.bam-var	MO_103.MO_180.sorted.bam	MO_103.MO_180.sorted.bam-var	MO_103.MO_184.sorted.bam	MO_103.MO_184.sorted.bam-var	MO_103.MO_188.sorted.bam	MO_103.MO_188.sorted.bam-var	MO_103.MO_192.sorted.bam	MO_103.MO_192.sorted.bam-var	MO_103.MO_197.sorted.bam	MO_103.MO_197.sorted.bam-var	MO_103.MO_199.sorted.bam	MO_103.MO_199.sorted.bam-var	MO_103.MO_202.sorted.bam	MO_103.MO_202.sorted.bam-var	MO_103.MO_207.sorted.bam	MO_103.MO_207.sorted.bam-var	MO_103.MO_226.sorted.bam	MO_103.MO_226.sorted.bam-var	MO_103.MO_231.sorted.bam	MO_103.MO_231.sorted.bam-var	MO_103.MO_234.sorted.bam	MO_103.MO_234.sorted.bam-var	MO_103.MO_236.sorted.bam	MO_103.MO_236.sorted.bam-var
MO_103.c_2	77139	32.191	0.0470717	0.115104	0.049033	0.180141	0.0313811	0.104819	0.0647235	0.392384	0.808687	1.33047	0.0392264	0.0619231	0.438491	0.845146	0.290275	0.521002	1.0156	1.77252	0.385445	0.56661	0.90735	1.34278	0.180441	0.285006	0.495746	0.860313	0.0470717	0.086817	1.61684	2.72747	1.86698	3.14285	12.3956	21.4772	0.606411	1.18842	0.360623	0.517541	0.520386	1.64499	0.904168	1.43238	0.356467	0.482659	0	0	0	0	0.00784528	0.0162087	0	0	0	0	0	0	0.601904	0.846534	0.680435	1.00471	0.885321	1.69703	1.86279	3.69811	1.0834	1.77785	0.217706	0.617785	2.56189	5.759	0.861759	1.35013
MO_103.c_3	71797	309.955	0	0	0	0	0	0	0	0	0.0126453	0.0146689	0	0	0.109593	0.215581	0.00843022	0.0167946	0.0126453	0.0124883	0.0969475	0.120974	0.417296	0.536652	0.166985	0.238636	0.560107	0.808343	0.196003	0.255184	5.1227	9.07664	7.97682	13.798	278.438	1696.75	15.5179	34.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259229	0.510456	0.149636	0.232234	0.27207	0.733134	0.535291	2.95172	0.0210756	0.029061	0.0210756	0.0550334	0.0442587	0.0489378	0.0168604	0.0166295
MO_103.c_4	63655	23.8749	0	0	0.00475553	0.00473621	0	0	0	0	0.00475553	0.00523902	0.00475553	0.00798082	0.0855366	0.154506	0.00951106	0.0094098	0.0927329	0.180109	0.0985277	0.155319	0.140288	0.180664	0.0427998	0.0574144	0.111755	0.12021	0.00951106	0.0141768	0.394709	0.680442	0.746618	1.14213	13.3397	22.8291	1.14178	1.98247	0.175955	0.245282	0.0237777	0.051683	0.775136	1.12559	0.033273	0.0360398	0	0	0	0	0	0	0	0	0	0	0	0	1.19598	1.93954	0.283978	0.532484	0.427951	0.656641	2.2659	3.61393	0.313865	0.509765	0.751311	1.82518	0.280529	0.684197	1.11946	1.80118
MO_103.c_5	53087	106.763	0.0285245	0.0277186	0.276687	0.871787	0.0941308	0.268649	0.0313769	0.0874378	0.0570489	0.065351	0.00855734	0.00847662	0	0	0.14419	0.255171	0.0656063	0.0987352	1.12379	6.10283	1.07069	1.43174	3.30285	8.81215	0.0941308	0.135625	0.00570489	0.00567084	0.0456392	0.0722067	0.122655	0.134135	49.0371	166.297	0.0713112	0.133325	1.92797	8.83092	2.02214	19.0247	1.11531	3.05152	1.09534	3.66995	0.0199671	0.0347849	0.025672	0.0542769	0.00285245	0.00284653	0.0114098	0.0219651	0.00285245	0.00284648	0.0396698	0.0560145	0.462021	1.24953	5.4674	124.745	10.5146	432.687	0.310917	0.756333	1.90254	17.8645	26.1626	2785.71	0.0741636	0.140948	0.025672	0.0288799
MO_103.c_6	51892	190.232	9.19773	55.251	5.16513	32.087	1.81553	11.5007	4.55375	52.312	5.17637	26.7699	10.912	50.4814	0.449306	1.16414	1.56428	7.02591	6.36744	43.8164	6.21244	29.897	6.81703	43.5274	0.502165	1.25794	7.36871	43.7118	8.56824	70.3825	13.3509	146.076	14.1988	139.59	35.1873	381.203	2.75942	12.829	2.44239	7.54755	0.532391	1.57573	1.70135	5.36476	2.22662	6.15568	0.0191141	0.0215716	1.19234	5.23343	0.662383	2.59807	0.0621352	0.115746	0.280604	0.493382	0.0203123	0.0310659	7.57104	65.9749	0.446407	0.876734	4.1769	44.1753	3.42563	11.9959	7.87662	65.2902	1.48036	7.47865	6.55657	66.0971	9.39237	101.374
MO_103.c_7	51289	90.4712	0.12992	0.167498	0.174211	0.226759	0.218483	0.444729	0.286259	0.574231	2.87778	4.52492	0.31868	0.473157	2.40452	3.85993	1.59426	2.41317	4.08336	6.15034	3.11748	4.99974	5.80659	10.0849	1.70995	3.0527	3.77551	5.70025	1.15229	1.59083	1.84499	2.59552	2.22269	3.29097	12.6095	21.4833	1.48544	2.73401	0.267487	0.316228	0.266528	0.8132	0.894679	1.31837	0.250005	0.441368	0	0	0	0	0	0	0	0	0	0	0	0	3.6963	6.52942	4.5147	6.38899	8.55652	15.5515	5.37449	9.61968	3.35439	4.68464	3.929	11.1536	7.53804	16.5281	6.01713	10.7321
MO_103.c_8	49718	91.9672	0.118806	0.16089	0.143177	0.248871	0.134038	0.202119	0.268076	1.04045	3.00512	4.68709	0.307678	0.420163	2.66224	5.69032	1.64136	2.72619	4.10698	7.02582	3.03857	4.80391	5.15589	7.82982	1.69279	2.80125	3.61489	5.64937	1.32458	1.76954	1.71199	2.94487	2.30334	3.03277	12.5199	22.3	1.33199	2.51574	0.30098	0.38816	0.167467	0.569477	1.09056	1.6769	0.298539	0.555739	0	0	0	0	0	0	0	0	0.0103696	0.0145013	0.0121853	0.0250217	3.56181	6.38223	4.6756	9.21701	9.03474	18.4538	5.64499	10.1959	3.57557	5.67001	4.13987	12.0174	8.22646	19.9245	6.14663	11.1457
MO_103.c_53	36995	142.94	6.50099	23.89	2.64332	9.98255	1.74406	18.1083	2.19118	19.0633	3.22559	13.4748	10.4725	160.218	0.652137	3.06303	1.55012	10.4326	5.67051	46.7227	3.22174	14.6711	4.56732	12.7549	0.267336	0.440942	6.36797	27.5489	5.00939	22.9626	10.2763	94.2934	10.8829	75.1482	34.4196	1136.17	1.71274	8.08232	2.08557	8.11592	0.17598	0.454326	1.11217	3.10482	1.75248	4.25835	0.629719	13.6829	0.524956	1.94458	0.360646	1.29518	0.0481476	0.0578733	0.794952	14.5978	0.0477948	0.0780648	3.5188	12.6179	0.302782	0.77643	1.63439	13.1234	2.48175	8.29809	4.74091	26.4509	0.969847	5.89174	5.18643	116.748	5.19693	35.006
MO_103.c_54	36500	45.2918	0.145392	0.349683	0.00830812	0.0165433	0	0	0.074773	0.245116	0.377854	0.613492	0.253398	0.402487	0.00415406	0.00413686	0.00415406	0.00413605	0.232627	0.433965	0.95381	2.94146	0.443906	1.30405	0.158762	0.361146	0.618955	1.51403	0.0166162	0.0163407	0.0166162	0.0163501	0.0207703	0.0203372	33.8531	82.4741	0	0	3.20633	15.5255	0.28663	1.30474	1.15067	3.53963	1.31254	4.70942	0	0	0	0	0.00415406	0.00413508	0	0	0	0	0	0	0.0249243	0.0343628	0.667125	2.67856	0.132792	0.247217	0.829133	1.92198	0.0913893	0.128615	0	0	0	0	0.402944	0.782158
MO_103.c_55	35983	30.591	0.00842799	0.00835391	0.02107	0.0206175	0.016856	0.025021	0.02107	0.0256419	0.699523	1.24193	0.0620657	0.09354	0.400274	0.806507	0.265482	0.393933	0.705188	1.00871	0.387687	0.476589	0.7857	1.16331	0.0672564	0.0658239	0.466749	0.713159	0.0337119	0.053609	1.71521	2.43236	1.7171	2.31788	12.3304	19.376	0.4886	0.655769	0.341305	0.432073	0.395697	1.13439	0.873022	1.31309	0.299193	0.365733	0	0	0.00139536	0.00278694	0	0	0	0	0	0	0	0	0.491809	0.642094	0.644546	0.926247	0.783691	1.16146	1.60955	1.92541	1.11364	1.83746	0.303407	0.864194	2.64376	4.86289	0.89758	1.31737
