contigName	contigLen	totalAvgDepth	MO_035.MO_004.sorted.bam	MO_035.MO_004.sorted.bam-var	MO_035.MO_005.sorted.bam	MO_035.MO_005.sorted.bam-var	MO_035.MO_007.sorted.bam	MO_035.MO_007.sorted.bam-var	MO_035.MO_010.sorted.bam	MO_035.MO_010.sorted.bam-var	MO_035.MO_034.sorted.bam	MO_035.MO_034.sorted.bam-var	MO_035.MO_035.sorted.bam	MO_035.MO_035.sorted.bam-var	MO_035.MO_039.sorted.bam	MO_035.MO_039.sorted.bam-var	MO_035.MO_042.sorted.bam	MO_035.MO_042.sorted.bam-var	MO_035.MO_046.sorted.bam	MO_035.MO_046.sorted.bam-var	MO_035.MO_071.sorted.bam	MO_035.MO_071.sorted.bam-var	MO_035.MO_073.sorted.bam	MO_035.MO_073.sorted.bam-var	MO_035.MO_074.sorted.bam	MO_035.MO_074.sorted.bam-var	MO_035.MO_077.sorted.bam	MO_035.MO_077.sorted.bam-var	MO_035.MO_082.sorted.bam	MO_035.MO_082.sorted.bam-var	MO_035.MO_098.sorted.bam	MO_035.MO_098.sorted.bam-var	MO_035.MO_102.sorted.bam	MO_035.MO_102.sorted.bam-var	MO_035.MO_103.sorted.bam	MO_035.MO_103.sorted.bam-var	MO_035.MO_106.sorted.bam	MO_035.MO_106.sorted.bam-var	MO_035.MO_133.sorted.bam	MO_035.MO_133.sorted.bam-var	MO_035.MO_135.sorted.bam	MO_035.MO_135.sorted.bam-var	MO_035.MO_138.sorted.bam	MO_035.MO_138.sorted.bam-var	MO_035.MO_140.sorted.bam	MO_035.MO_140.sorted.bam-var	MO_035.MO_167.sorted.bam	MO_035.MO_167.sorted.bam-var	MO_035.MO_170.sorted.bam	MO_035.MO_170.sorted.bam-var	MO_035.MO_180.sorted.bam	MO_035.MO_180.sorted.bam-var	MO_035.MO_184.sorted.bam	MO_035.MO_184.sorted.bam-var	MO_035.MO_188.sorted.bam	MO_035.MO_188.sorted.bam-var	MO_035.MO_192.sorted.bam	MO_035.MO_192.sorted.bam-var	MO_035.MO_197.sorted.bam	MO_035.MO_197.sorted.bam-var	MO_035.MO_199.sorted.bam	MO_035.MO_199.sorted.bam-var	MO_035.MO_202.sorted.bam	MO_035.MO_202.sorted.bam-var	MO_035.MO_207.sorted.bam	MO_035.MO_207.sorted.bam-var	MO_035.MO_226.sorted.bam	MO_035.MO_226.sorted.bam-var	MO_035.MO_231.sorted.bam	MO_035.MO_231.sorted.bam-var	MO_035.MO_234.sorted.bam	MO_035.MO_234.sorted.bam-var	MO_035.MO_236.sorted.bam	MO_035.MO_236.sorted.bam-var
MO_035.c_0	523229	19.7753	0	0	0	0	0	0	0	0	0.359399	0.573797	19.413	40.8366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000577351	0.000576758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103235	0.000194984	0	0	0	0	0.0023094	0.00274627	0	0	0	0	0	0	0	0	0	0	0	0
MO_035.c_1	370819	21.664	0	0	0	0	0	0	0	0	0.394139	0.666597	21.2668	43.1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194243	0.00036683	0	0	0	0	0	0	0.000412767	0.000984368	0	0	0	0	0.00244423	0.00252189	0	0	0	0	0	0	0	0	0	0	0	0
MO_035.c_2	336158	66.3024	0.118036	0.554147	0.0943787	0.471537	0.046365	0.206659	0.0986167	0.450914	4.32384	9.13656	20.7038	61.4272	0.259512	0.608701	0.435519	0.761572	2.58091	5.46184	3.97021	9.12081	3.87621	8.76371	1.47084	3.64126	8.15477	26.5746	0.427162	0.89645	0.174612	0.789754	0.17618	0.603487	0.0821707	0.331115	0.125801	0.286283	0.084992	0.44897	0.094093	0.803282	0.0853224	0.392787	0.0652871	0.308942	0.126027	3.14886	0.0845664	0.840117	0.0431656	0.385708	0.00884205	0.0281685	0.0916198	1.59872	0.0820665	1.17256	2.78414	6.44999	0.775669	1.52786	0.963891	2.41865	3.40217	6.62007	7.14334	20.8114	0.661422	2.23611	0.702805	2.46906	1.98406	5.34046
MO_035.c_3	336092	21.7465	0	0	0	0	0	0	0	0	0.398962	0.675701	21.3434	44.3159	0.000482226	0.000827099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125022	0.000125001	0	0	0.00359586	0.0063164	0	0	0	0	0	0	0	0	0	0	0	0
MO_035.c_4	238865	18.5442	0	0	0	0	0	0	0	0	0.348529	0.54515	18.1957	35.0206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_035.c_5	94511	52.7318	0.0592088	0.119147	0.0208031	0.0218943	0.00960142	0.019136	0.0287407	0.0593802	3.45305	7.23619	16.6225	31.682	0.197412	0.347665	0.313223	0.525709	2.08288	3.62903	3.33949	8.18138	3.44576	7.74577	1.16713	2.23658	6.94439	25.9471	0.281631	0.408006	0.168025	0.267256	0.110416	0.188349	0.0288043	0.0507361	0.0583398	0.0926032	0.0464069	0.0713795	0.00357139	0.00355387	0.0192028	0.0314712	0.0288043	0.0588376	0.00226789	0.00448456	0.00480071	0.00713304	0.00960142	0.0187696	0	0	0.00320047	0.00319018	0.00960142	0.0212619	2.17391	4.37326	0.610432	1.00714	0.723318	1.27618	2.5971	5.21431	5.86743	14.7714	0.436822	1.55355	0.553513	1.34534	1.3104	2.37891
MO_035.c_6	94108	44.6806	0.851466	1.43314	0.56405	0.933975	0.146246	0.327222	0.26183	0.700071	3.4764	5.58732	12.1935	20.1759	0.833234	1.87286	1.91444	3.19375	4.13818	6.7923	0.689776	1.34492	0.995615	2.04082	0.625737	1.14606	1.19399	2.76961	2.00584	3.08141	2.08147	3.76649	2.32372	4.47173	1.10373	3.28212	0.847932	2.12292	1.10565	1.88336	0.151323	0.605332	1.43823	3.08636	0.730965	1.24441	0.0332915	0.43605	0.00803551	0.0257907	0.0016071	0.0016021	0.0064284	0.0219724	0.00541731	0.012321	0.0064284	0.0209933	0.788576	4.58179	0.150333	0.263725	0.359512	0.7451	0.800688	3.49522	0.744077	1.40016	0.186849	0.652386	0.176781	0.324874	1.73927	3.30633
MO_035.c_7	94038	88.1455	3.88678	5.98938	2.4406	3.76222	1.57848	3.98745	1.5299	4.85926	5.96889	10.7322	17.7423	32.8612	0.56856	1.10483	0.994153	1.64866	5.91182	10.1902	1.77063	3.05473	2.71321	4.94804	1.31849	2.38299	2.78522	4.77419	5.96603	10.254	8.46148	14.3979	5.45893	8.25729	2.27733	3.88945	1.55569	3.57103	2.06229	3.38111	0.543541	1.90775	2.45654	4.73589	1.53351	2.50764	0.0128664	0.0191036	0.0200452	0.0206088	0	0	0	0	0.00410063	0.00652877	0.0148475	0.0213355	0.490116	0.83915	0.125458	0.272424	0.488103	0.873156	0.328743	0.442558	2.93018	5.24382	0.629282	1.87112	0.753259	1.669	2.8241	5.28412
MO_035.c_8	93126	163.211	5.26971	8.59899	4.36692	7.3831	2.75513	7.02076	3.38225	10.8315	10.9342	19.3285	17.0406	34.8934	1.22353	2.60437	4.49414	7.3866	10.1598	20.5231	4.72705	7.71667	6.6977	12.0915	4.42338	8.48951	8.71304	15.1383	8.32477	16.6683	10.4529	20.0385	9.41923	15.7928	7.68915	14.6669	1.24045	2.48101	4.41446	7.33061	1.31364	4.57826	6.85781	12.0767	4.31226	7.9953	0.0381066	0.092135	0.0620375	0.1234	0.0210592	0.0811858	0.00487223	0.00485359	0.00974445	0.0189113	0.0259852	0.0490914	1.26672	2.02465	1.01975	1.74518	1.98315	3.88122	1.56149	2.36801	7.57104	12.437	1.62616	5.51032	2.06321	4.22852	7.74542	14.3414
MO_035.c_9	92942	62.4321	0.0569553	0.0895977	0.016273	0.0257528	0.0179003	0.0365981	0.0406824	0.105279	3.88836	7.9099	19.6961	40.6212	0.206645	0.300252	0.3954	0.584655	2.67334	5.00609	3.82078	8.67933	3.65737	7.53947	1.31673	2.44971	8.28914	26.625	0.411706	0.612067	0.133438	0.17004	0.0976377	0.174172	0.0520735	0.0828151	0.0790047	0.140069	0.0618372	0.139411	0.026748	0.0851736	0.0537007	0.210155	0.0179003	0.0604572	0.0016273	0.00162466	0.0146349	0.0170101	0.00976377	0.0252227	0.00650918	0.00768308	0.00650918	0.00682783	0.0331817	0.0620542	2.66397	4.8095	0.757361	1.04253	0.796987	1.42132	3.15887	5.39591	6.99162	16.4562	0.598769	1.81509	0.561589	1.18455	1.82093	3.41691
