contigName	contigLen	totalAvgDepth	MO_197.MO_004.sorted.bam	MO_197.MO_004.sorted.bam-var	MO_197.MO_005.sorted.bam	MO_197.MO_005.sorted.bam-var	MO_197.MO_007.sorted.bam	MO_197.MO_007.sorted.bam-var	MO_197.MO_010.sorted.bam	MO_197.MO_010.sorted.bam-var	MO_197.MO_034.sorted.bam	MO_197.MO_034.sorted.bam-var	MO_197.MO_035.sorted.bam	MO_197.MO_035.sorted.bam-var	MO_197.MO_039.sorted.bam	MO_197.MO_039.sorted.bam-var	MO_197.MO_042.sorted.bam	MO_197.MO_042.sorted.bam-var	MO_197.MO_046.sorted.bam	MO_197.MO_046.sorted.bam-var	MO_197.MO_071.sorted.bam	MO_197.MO_071.sorted.bam-var	MO_197.MO_073.sorted.bam	MO_197.MO_073.sorted.bam-var	MO_197.MO_074.sorted.bam	MO_197.MO_074.sorted.bam-var	MO_197.MO_077.sorted.bam	MO_197.MO_077.sorted.bam-var	MO_197.MO_082.sorted.bam	MO_197.MO_082.sorted.bam-var	MO_197.MO_098.sorted.bam	MO_197.MO_098.sorted.bam-var	MO_197.MO_102.sorted.bam	MO_197.MO_102.sorted.bam-var	MO_197.MO_103.sorted.bam	MO_197.MO_103.sorted.bam-var	MO_197.MO_106.sorted.bam	MO_197.MO_106.sorted.bam-var	MO_197.MO_133.sorted.bam	MO_197.MO_133.sorted.bam-var	MO_197.MO_135.sorted.bam	MO_197.MO_135.sorted.bam-var	MO_197.MO_138.sorted.bam	MO_197.MO_138.sorted.bam-var	MO_197.MO_140.sorted.bam	MO_197.MO_140.sorted.bam-var	MO_197.MO_167.sorted.bam	MO_197.MO_167.sorted.bam-var	MO_197.MO_170.sorted.bam	MO_197.MO_170.sorted.bam-var	MO_197.MO_180.sorted.bam	MO_197.MO_180.sorted.bam-var	MO_197.MO_184.sorted.bam	MO_197.MO_184.sorted.bam-var	MO_197.MO_188.sorted.bam	MO_197.MO_188.sorted.bam-var	MO_197.MO_192.sorted.bam	MO_197.MO_192.sorted.bam-var	MO_197.MO_197.sorted.bam	MO_197.MO_197.sorted.bam-var	MO_197.MO_199.sorted.bam	MO_197.MO_199.sorted.bam-var	MO_197.MO_202.sorted.bam	MO_197.MO_202.sorted.bam-var	MO_197.MO_207.sorted.bam	MO_197.MO_207.sorted.bam-var	MO_197.MO_226.sorted.bam	MO_197.MO_226.sorted.bam-var	MO_197.MO_231.sorted.bam	MO_197.MO_231.sorted.bam-var	MO_197.MO_234.sorted.bam	MO_197.MO_234.sorted.bam-var	MO_197.MO_236.sorted.bam	MO_197.MO_236.sorted.bam-var
MO_197.c_0	291289	47.5602	0.186159	0.762158	0.152463	0.649769	0.0943776	0.360641	0.0798656	0.325629	0.22819	1.02811	0.21679	1.01023	0.0210861	0.0585177	0.0430482	0.071763	0.145216	0.47223	0.604715	1.10595	0.64258	1.31751	0.0845369	0.154027	1.01285	2.26197	0.0420109	0.150341	0.0529026	0.139566	0.0658586	0.116709	0.114495	0.341723	0.0134231	0.0282945	0.104232	0.274914	0.0435599	0.191659	0.211586	0.747856	0.141046	0.429997	0.00480526	0.00608744	0.0492926	0.133946	0.0181528	0.0395445	0.00468505	0.00597164	0.00914683	0.0141675	0.0090644	0.0182942	17.8725	34.018	2.35975	3.72963	5.48403	11.1982	16.5491	30.8633	0.413854	2.29828	0.0883908	0.259686	0.0987673	0.311545	0.297686	1.40929
MO_197.c_1	149981	80.687	0.160227	0.393209	0.131008	0.370391	0.225968	0.681883	0.14204	0.542012	0.086671	0.13123	0.020156	0.0359097	0.0251951	0.0444198	0.0382965	0.0467451	0.111866	0.196592	0.614626	2.03533	0.410169	1.12579	0.0744238	0.125173	0.626813	1.65204	0.126976	0.227155	0.00604681	0.0100333	0.0010078	0.00100609	0.00302341	0.00300779	0	0	0.488757	1.441	0.390026	1.1569	0.479667	1.63043	0.68931	2.05608	0	0	0	0	0	0	0.0114129	0.0230593	0	0	0	0	16.3538	37.1331	7.67981	13.2623	14.3528	27.6912	14.5352	30.6847	4.41126	7.69631	9.76693	28.2661	1.5191	2.86849	7.20438	13.1576
MO_197.c_6	72803	53.3993	0.0635074	0.0913353	0.0353323	0.0388828	0.0311481	0.0567207	0.016627	0.0909179	1.07603	3.97895	2.00428	11.1445	0.0738855	0.152217	0.367899	0.796777	0.962011	3.34767	0.409302	0.928886	0.655954	1.69834	0.242523	0.492266	0.608949	1.71899	0.337756	0.724601	0.814708	3.08809	0.846352	3.09966	0.781496	2.67312	0.143201	0.314035	0.547424	1.27778	0.119128	0.446327	1.02238	3.23422	0.592887	1.46469	0	0	0	0	0	0	0	0	0	0	0	0	14.8359	26.3562	1.73667	2.81783	3.78494	7.88618	11.8478	20.4365	4.59552	7.96347	0.925963	3.03381	0.733294	1.53983	3.18645	5.83223
MO_197.c_7	72334	411.541	32.1066	74.021	23.2172	40.4207	19.5088	58.4668	20.1165	54.5485	16.3023	32.2057	9.05526	14.6365	4.15451	7.92792	5.71172	8.64041	19.6328	41.6032	15.8258	29.8362	15.1925	30.2648	3.41634	5.52969	20.7855	40.5431	19.8711	42.4357	13.9866	29.9538	17.1017	42.2379	6.4591	10.905	4.29673	8.52635	14.1008	25.3235	4.39409	15.353	14.7901	28.9172	17.4721	33.3617	1.01338	1.42285	5.73505	11.4162	5.62004	14.8048	0.938712	1.57038	2.54664	4.32921	0.669705	1.21961	16.291	33.8367	6.66619	10.7362	12.0379	27.9676	12.2752	21.7455	5.4675	8.48044	9.75892	30.541	2.28214	4.84693	12.7399	25.9231
MO_197.c_8	71288	322.877	12.7497	41.564	11.5964	30.2356	13.3093	50.874	16.3357	65.3113	3.49131	9.84011	0.44148	0.916217	2.63699	6.13938	2.86164	7.04378	6.30559	25.5466	11.1434	34.2753	8.18385	19.4409	1.31303	2.71941	14.8873	47.6345	31.5945	138.324	4.58644	14.4501	2.97747	7.57372	4.69114	12.9044	1.8803	5.91656	17.9118	51.222	5.69459	27.944	13.7079	34.0436	18.3352	55.7259	0.549214	0.97719	10.259	66.3528	7.1845	45.6394	0.772302	1.68698	3.84111	15.7815	1.05278	3.49583	17.9959	46.2826	5.22182	10.7372	28.336	80.456	8.90437	20.2229	5.56201	11.2641	11.7887	48.4674	5.57563	12.3666	9.19875	21.4015
MO_197.c_9	71209	45.9118	0.280443	1.37232	0.282019	1.41805	0.171913	0.744895	0.142332	0.659308	0.261346	1.34436	0.1955	0.849439	0.0153394	0.015109	0.0637358	0.132885	0.17425	0.591029	0.61197	1.12505	0.625058	1.35677	0.103759	0.237101	1.03912	2.60766	0.123236	0.872717	0.10625	0.290432	0.118986	0.413241	0.158587	0.685869	0.010625	0.0147669	0.0913466	0.294464	0.01275	0.0125889	0.22646	1.2483	0.203971	0.786119	0.00212499	0.00211906	0.0683235	0.194559	0.0233609	0.0800608	0.00647349	0.0128017	0.021067	0.0450726	0.014875	0.0209454	16.3451	41.9235	2.14655	3.67319	5.25805	10.5851	15.7703	39.9141	0.467428	2.29563	0.184818	0.828416	0.140222	0.379101	0.444068	3.15108
MO_197.c_10	70676	82.426	0.00428211	0.00426733	0	0	0	0	0	0	0.0642033	0.0899695	0.00856422	0.00848711	0.00428211	0.00426821	0.00428211	0.00427002	0.0599495	0.0818331	0.387531	1.82026	0.2624	0.875728	0.0599212	0.110174	0.216246	0.995532	0.00428211	0.0085282	0.00428211	0.00427245	0	0	0.0492443	0.0666537	0	0	0.381108	0.702873	0.19899	0.724862	1.09615	1.94127	1.54566	3.10654	0	0	0.088875	0.193324	0.00642316	0.0116977	0	0	0	0	0	0	18.0006	48.3801	8.79714	17.6777	22.6358	67.2992	23.2954	75.0822	2.5776	4.08254	0.252503	0.781783	1.0076	2.04336	1.41276	2.51912
MO_197.c_11	68340	42.7043	0.0685731	0.33015	0.0465024	0.1383	0.033216	0.130017	0.0531016	0.186909	0.044288	0.186362	0.0310016	0.0680637	0.0155008	0.0241212	0.0044288	0.00440959	0.0398592	0.109541	0.77504	1.27671	0.515941	0.739731	0.0442294	0.0692848	0.956225	1.61081	0.0155008	0.0726384	0.0132864	0.0172618	0.0199296	0.0471075	0.0243584	0.0394662	0.0066432	0.00659651	0.0265728	0.0831671	0	0	0.0376448	0.0980601	0.033216	0.0729127	0	0	0.0088576	0.012873	0.0066432	0.0101236	0	0	0.0132864	0.0217834	0.00302097	0.0058547	16.2616	26.9707	2.27029	4.06185	4.90298	10.6199	16.1375	26.0046	0.137879	1.15922	0.0199296	0.0374025	0.0376448	0.0849601	0.099648	0.663865
MO_197.c_2	143114	44.0356	0.151031	0.686444	0.17524	0.904281	0.124521	0.682784	0.0612602	0.2223	0.197301	0.788827	0.156858	0.521788	0.0179556	0.0259544	0.0580846	0.149327	0.163678	0.612739	0.61775	1.22741	0.606202	1.59583	0.0876444	0.15302	0.968531	2.06179	0.0591198	0.228531	0.0834406	0.203149	0.085553	0.219325	0.128599	0.443682	0.020068	0.040822	0.0697099	0.192927	0.00844968	0.0167792	0.148905	0.587766	0.136202	0.504982	0.00744243	0.0146734	0.0390518	0.122009	0.00950589	0.0178322	0.00633726	0.00952149	0.00739347	0.0219274	0.00276293	0.00445561	16.6177	32.0128	2.12168	3.20946	4.90157	9.91688	15.1835	31.8635	0.430934	2.59141	0.110888	0.438393	0.11186	0.456747	0.358853	2.51912
MO_197.c_3	113843	40.568	0.108855	0.54326	0.0862762	0.419476	0.0703913	0.369153	0.0437934	0.112645	0.0915712	0.446879	0.0902958	0.487802	0.0238977	0.0673533	0.0278821	0.0719685	0.0743406	0.332813	0.508211	0.948409	0.419621	1.02288	0.0584293	0.129257	0.738928	2.00245	0.0504692	0.18282	0.0358597	0.113792	0.0278909	0.0801543	0.0796795	0.356528	0.0172218	0.0723727	0.034514	0.0693688	0.00664069	0.0145524	0.0823094	0.313476	0.0504517	0.155042	0.0132814	0.0500058	0.0379355	0.126275	0.00397562	0.00660257	0.00925299	0.0131006	0.00398441	0.00662208	0.00796883	0.0274489	15.8887	28.1872	2.10354	3.50027	4.48153	8.88296	14.8566	27.0517	0.184523	1.2958	0.0436263	0.278056	0.0528529	0.19932	0.152727	1.06263
MO_197.c_4	106052	413.315	32.5483	94.7161	24.5129	54.6068	19.6243	51.077	18.7768	58.9752	16.2705	38.8733	9.41159	19.5183	3.91376	8.04793	5.5748	10.0245	20.4595	51.7508	15.9748	37.4111	15.4016	36.1815	3.28438	6.02055	20.0794	56.3508	19.3081	50.5347	14.2926	36.2436	17.7341	44.696	6.73186	14.3815	4.11556	8.77893	14.2863	30.9439	4.01695	13.8787	14.5782	34.7853	18.1475	44.1652	0.867651	1.33144	5.54717	11.7766	5.01934	14.0578	0.628987	1.06594	2.1944	3.53437	0.645446	0.928345	16.6648	41.9015	6.44772	11.8578	12.4328	29.8607	12.9416	27.7984	5.52034	9.64947	9.55566	29.6636	2.13282	4.77793	13.673	32.8436
MO_197.c_5	103551	40.2461	0.167697	0.765595	0.113597	0.670413	0.118248	0.698794	0.0775815	0.366192	0.135347	0.837603	0.113597	1.03661	0.0277463	0.0756318	0.0379687	0.156375	0.113055	0.604664	0.702421	1.35373	0.609085	1.31633	0.0870011	0.153427	0.899082	1.85166	0.0790998	0.436311	0.078858	0.300647	0.0830746	0.411552	0.0794867	0.334865	0.017524	0.0484113	0.0993027	0.445117	0.026286	0.135632	0.151294	0.844025	0.100763	0.400046	0.008762	0.0202335	0.0669529	0.286587	0.0189843	0.106101	0.00146033	0.0014572	0.00730167	0.0101692	0.0144583	0.0549597	14.8393	24.0002	2.04688	3.28637	4.6987	9.05378	13.9287	22.3003	0.258257	2.19172	0.0795737	0.36254	0.0907631	0.301042	0.267899	2.07871
