contigName	contigLen	totalAvgDepth	MO_039.MO_004.sorted.bam	MO_039.MO_004.sorted.bam-var	MO_039.MO_005.sorted.bam	MO_039.MO_005.sorted.bam-var	MO_039.MO_007.sorted.bam	MO_039.MO_007.sorted.bam-var	MO_039.MO_010.sorted.bam	MO_039.MO_010.sorted.bam-var	MO_039.MO_034.sorted.bam	MO_039.MO_034.sorted.bam-var	MO_039.MO_035.sorted.bam	MO_039.MO_035.sorted.bam-var	MO_039.MO_039.sorted.bam	MO_039.MO_039.sorted.bam-var	MO_039.MO_042.sorted.bam	MO_039.MO_042.sorted.bam-var	MO_039.MO_046.sorted.bam	MO_039.MO_046.sorted.bam-var	MO_039.MO_071.sorted.bam	MO_039.MO_071.sorted.bam-var	MO_039.MO_073.sorted.bam	MO_039.MO_073.sorted.bam-var	MO_039.MO_074.sorted.bam	MO_039.MO_074.sorted.bam-var	MO_039.MO_077.sorted.bam	MO_039.MO_077.sorted.bam-var	MO_039.MO_082.sorted.bam	MO_039.MO_082.sorted.bam-var	MO_039.MO_098.sorted.bam	MO_039.MO_098.sorted.bam-var	MO_039.MO_102.sorted.bam	MO_039.MO_102.sorted.bam-var	MO_039.MO_103.sorted.bam	MO_039.MO_103.sorted.bam-var	MO_039.MO_106.sorted.bam	MO_039.MO_106.sorted.bam-var	MO_039.MO_133.sorted.bam	MO_039.MO_133.sorted.bam-var	MO_039.MO_135.sorted.bam	MO_039.MO_135.sorted.bam-var	MO_039.MO_138.sorted.bam	MO_039.MO_138.sorted.bam-var	MO_039.MO_140.sorted.bam	MO_039.MO_140.sorted.bam-var	MO_039.MO_167.sorted.bam	MO_039.MO_167.sorted.bam-var	MO_039.MO_170.sorted.bam	MO_039.MO_170.sorted.bam-var	MO_039.MO_180.sorted.bam	MO_039.MO_180.sorted.bam-var	MO_039.MO_184.sorted.bam	MO_039.MO_184.sorted.bam-var	MO_039.MO_188.sorted.bam	MO_039.MO_188.sorted.bam-var	MO_039.MO_192.sorted.bam	MO_039.MO_192.sorted.bam-var	MO_039.MO_197.sorted.bam	MO_039.MO_197.sorted.bam-var	MO_039.MO_199.sorted.bam	MO_039.MO_199.sorted.bam-var	MO_039.MO_202.sorted.bam	MO_039.MO_202.sorted.bam-var	MO_039.MO_207.sorted.bam	MO_039.MO_207.sorted.bam-var	MO_039.MO_226.sorted.bam	MO_039.MO_226.sorted.bam-var	MO_039.MO_231.sorted.bam	MO_039.MO_231.sorted.bam-var	MO_039.MO_234.sorted.bam	MO_039.MO_234.sorted.bam-var	MO_039.MO_236.sorted.bam	MO_039.MO_236.sorted.bam-var
MO_039.c_0	64221	18.5996	0	0	0	0	0	0	0	0	0	0	0	0	18.5571	64.2759	0	0	0.0377082	0.0486497	0	0	0	0	0	0	0.00471352	0.00836791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_039.c_1	51389	194.175	7.34616	17.2203	4.57718	8.99118	56.2496	425.956	8.67839	25.7945	23.7004	86.5019	0.309198	0.497183	30.078	107.55	1.34355	2.40667	14.6981	48.6105	6.05566	12.3097	23.2281	114.409	1.60479	3.15628	3.56939	7.41654	0.799645	1.25643	0.182712	0.348827	0.00884092	0.00876563	0.400301	0.592448	0	0	0.0324167	0.0336558	0.103144	0.345183	0.0412576	0.0778156	0.00589395	0.00585728	0	0	0	0	0	0	0	0	0	0	0	0	0.558754	0.787363	2.48463	4.13584	0.26472	0.410282	0.297605	0.37217	1.52353	2.30544	1.82359	5.47584	0.952692	1.5873	3.25646	6.38046
MO_039.c_2	46547	18.1056	0	0	0	0	0	0	0	0	0	0	0	0	18.0015	39.0206	0	0	0.104123	0.158355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_039.c_3	40744	12.115	0	0	0	0	0	0	0	0	0	0	0	0	12.0431	19.4819	0	0	0.0223186	0.021817	0	0	0	0	0	0	0.00743952	0.00738908	0	0	0.00743952	0.0148253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00743952	0.00738637	0	0	0	0	0.0260383	0.0269934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123171	0.00236312	0	0
MO_039.c_4	36746	20.8416	0	0	0	0	0	0	0	0	0	0	0	0	20.7673	108.846	0	0	0.0495136	0.0485302	0	0	0	0	0	0	0.0247568	0.0245251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_039.c_5	36085	71.1771	5.68212	8.40738	1.92873	2.90371	0.0798386	0.107454	0.31095	0.729275	1.10424	1.65737	1.19171	1.8265	27.3824	66.1295	0.138667	0.201979	4.52832	8.88575	1.17537	1.66141	0.655517	0.890028	0.0209545	0.021398	3.36093	5.70745	1.40239	2.20056	3.93132	6.54593	4.87491	7.00405	0.180687	0.21352	0.554585	1.05528	1.93204	2.54486	0.542006	1.93697	2.4814	3.53665	1.90118	3.61049	0	0	0	0	0	0	0	0	0	0	0	0	1.96586	3.68009	2.25939	2.56239	0.0252122	0.0750468	0.591067	0.934918	0.265563	0.416203	0.00840406	0.00832976	0	0	0.70135	1.0044
MO_039.c_6	35933	111.946	0	0	0.00843976	0.00836269	0	0	0	0	0	0	0	0	111.378	29666.8	0	0	0.381801	1.39782	0	0	0	0	0	0	0.164492	0.348437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126038	0.0124424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_039.c_7	34820	13.121	0	0	0	0	0	0	0	0	0	0	0	0	13.0077	29.0408	0	0	0.0435535	0.0751324	0	0	0	0	0	0	0.0348428	0.0859006	0	0	0.0174214	0.034484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174214	0.0250797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_039.c_8	33923	26.353	0	0	0	0	0	0	0	0	0	0	0	0	26.2636	179.532	0	0	0.0357682	0.0560135	0	0	0	0	0	0	0.0536523	0.068708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_039.c_9	33844	135.266	1.11379	2.13925	0.879682	1.28893	2.1475	3.8967	21.2694	92.2832	2.56342	8.38824	1.68463	3.32725	19.6411	54.7502	1.38838	2.84498	2.98151	7.07909	0.675254	1.03945	3.49383	6.12898	1.75574	2.85788	0.331632	0.591722	0.678489	0.965479	0.296551	0.524544	0.0716745	0.0844588	0.184454	0.312688	0.127115	0.286452	0.909895	1.34952	51.0012	437.163	1.41171	2.20648	0.416335	0.690929	0.00174887	0.00174655	0.02588	0.05479	0.00743483	0.0313232	0.0119203	0.0889107	0	0	0.00895505	0.00888375	0.95103	1.64395	13.4689	30.4443	2.77613	6.00663	0.78281	1.1406	0.583605	0.951667	0.581587	4.19922	0.57577	3.74903	0.467324	0.899613
