contigName	contigLen	totalAvgDepth	MO_180.MO_004.sorted.bam	MO_180.MO_004.sorted.bam-var	MO_180.MO_005.sorted.bam	MO_180.MO_005.sorted.bam-var	MO_180.MO_007.sorted.bam	MO_180.MO_007.sorted.bam-var	MO_180.MO_010.sorted.bam	MO_180.MO_010.sorted.bam-var	MO_180.MO_034.sorted.bam	MO_180.MO_034.sorted.bam-var	MO_180.MO_035.sorted.bam	MO_180.MO_035.sorted.bam-var	MO_180.MO_039.sorted.bam	MO_180.MO_039.sorted.bam-var	MO_180.MO_042.sorted.bam	MO_180.MO_042.sorted.bam-var	MO_180.MO_046.sorted.bam	MO_180.MO_046.sorted.bam-var	MO_180.MO_071.sorted.bam	MO_180.MO_071.sorted.bam-var	MO_180.MO_073.sorted.bam	MO_180.MO_073.sorted.bam-var	MO_180.MO_074.sorted.bam	MO_180.MO_074.sorted.bam-var	MO_180.MO_077.sorted.bam	MO_180.MO_077.sorted.bam-var	MO_180.MO_082.sorted.bam	MO_180.MO_082.sorted.bam-var	MO_180.MO_098.sorted.bam	MO_180.MO_098.sorted.bam-var	MO_180.MO_102.sorted.bam	MO_180.MO_102.sorted.bam-var	MO_180.MO_103.sorted.bam	MO_180.MO_103.sorted.bam-var	MO_180.MO_106.sorted.bam	MO_180.MO_106.sorted.bam-var	MO_180.MO_133.sorted.bam	MO_180.MO_133.sorted.bam-var	MO_180.MO_135.sorted.bam	MO_180.MO_135.sorted.bam-var	MO_180.MO_138.sorted.bam	MO_180.MO_138.sorted.bam-var	MO_180.MO_140.sorted.bam	MO_180.MO_140.sorted.bam-var	MO_180.MO_167.sorted.bam	MO_180.MO_167.sorted.bam-var	MO_180.MO_170.sorted.bam	MO_180.MO_170.sorted.bam-var	MO_180.MO_180.sorted.bam	MO_180.MO_180.sorted.bam-var	MO_180.MO_184.sorted.bam	MO_180.MO_184.sorted.bam-var	MO_180.MO_188.sorted.bam	MO_180.MO_188.sorted.bam-var	MO_180.MO_192.sorted.bam	MO_180.MO_192.sorted.bam-var	MO_180.MO_197.sorted.bam	MO_180.MO_197.sorted.bam-var	MO_180.MO_199.sorted.bam	MO_180.MO_199.sorted.bam-var	MO_180.MO_202.sorted.bam	MO_180.MO_202.sorted.bam-var	MO_180.MO_207.sorted.bam	MO_180.MO_207.sorted.bam-var	MO_180.MO_226.sorted.bam	MO_180.MO_226.sorted.bam-var	MO_180.MO_231.sorted.bam	MO_180.MO_231.sorted.bam-var	MO_180.MO_234.sorted.bam	MO_180.MO_234.sorted.bam-var	MO_180.MO_236.sorted.bam	MO_180.MO_236.sorted.bam-var
MO_180.c_0	64012	45.2603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212803	0.0331043	0	0	0.00236447	0.00235556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441953	0.610535	19.4405	55.9705	22.6275	72.7423	0.112821	0.162178	0.248614	0.426236	2.36526	4.10772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_180.c_1	62821	77.5028	0.0842495	0.426455	0.0818082	0.399843	0.130762	1.62675	0.199933	3.21532	0.081888	0.346336	0.00481882	0.00479741	0.0602192	0.193809	0.0642722	0.218931	0.170142	1.94269	0.0987059	0.719016	0.0770691	0.378183	0.230346	3.24937	0.149335	2.38261	0.040928	0.141275	0.137272	1.6978	0.134895	1.56975	0.174451	2.51349	0.0816805	0.832456	0.0841378	0.590097	0.192641	2.95329	0.0698728	0.285324	0.0794945	0.525008	0.720541	10.1609	14.1812	38.402	40.6203	181.763	4.69267	8.89248	5.95175	13.6455	7.88449	15.7932	0.040944	0.159558	0.158494	0.950172	0.0957221	0.832806	0.118029	0.725996	0.105902	0.832831	0.186195	2.41635	0.211661	3.08371	0.105982	0.854788
MO_180.c_2	61409	71.5604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234741	0.02906	14.5896	49.5718	53.3412	308.868	0.674513	1.29546	1.84179	2.93495	1.0898	2.19691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_180.c_3	56733	82.5842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045367	0.153065	0	0	0.00533729	0.0103444	0.0160119	0.0333117	0.444692	0.841244	39.1971	86.1806	37.2423	137.522	0.552003	0.835696	0.728965	1.25838	4.35239	7.88247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_180.c_4	44537	1345.96	0.0306171	0.0554782	0.0306171	0.0572832	0.0272152	0.0771594	0	0	0.0850474	0.302687	0.0102057	0.016873	0.0102057	0.010093	0.0476266	0.162858	0.149683	0.645273	0.0510285	0.105706	0.102057	0.292651	0.0238133	0.0374141	0.034019	0.0515704	0.0034019	0.00339349	0.136076	0.717029	0.0306171	0.0616512	0.0374209	0.0965354	0.0782436	0.295798	0.149683	0.427359	0.0034019	0.00339202	0.0272152	0.0489087	0.00680379	0.00676767	111.445	4449.14	20.8518	70.4617	135.405	1796.7	4.86489	11.2082	23.1242	108.583	1047.74	188692	0.034019	0.105914	0.0578322	0.286445	0.0272152	0.0544058	0.346993	2.80972	0.193841	1.16429	0	0	0.527272	11.4569	0.272152	1.50831
MO_180.c_5	42351	34.1767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0316106	0.0478008	0.0569655	0.101087	33.1376	155.032	0.110922	0.171005	0.04289	0.0563104	0.796711	1.39681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MO_180.c_6	42020	58.3102	0.681084	2.10041	0.0829472	0.116247	0.144041	0.25676	0.0252448	0.0419255	0.0072128	0.00716461	0.0144256	0.028664	0.12983	0.287497	0.0036064	0.00359515	0.0216384	0.0211863	0.378648	0.86241	0.129807	0.165753	0.297779	0.567966	0.0612849	0.0641053	0.0829233	0.145621	0.0144256	0.0142096	0.0072128	0.0143797	4.61643	10.6864	0.0793408	0.0965447	0.0432768	0.0767937	0.328182	2.81659	0.0613088	0.115988	0.0577024	0.100634	0.803439	1.52102	0.900693	1.55252	28.0551	124.091	0.292835	0.498167	0.610676	0.958675	7.61127	16.4496	0.133437	0.372907	1.16317	4.97507	1.98135	12.4628	0.122618	0.559164	0.757344	2.71814	7.90666	213.011	0.515691	1.69561	0.187533	0.428988
MO_180.c_7	39029	57.3584	0.442707	0.875641	0.0854446	0.172563	0.20875	0.312916	0.0349546	0.063467	0.0427223	0.0501629	0.0116515	0.0123788	0.179711	0.490994	0.0233031	0.0227659	0.0970961	0.278698	0.330127	0.69461	0.341778	0.72747	0.587309	2.09611	0.20196	0.448659	0.0660254	0.172338	0.0233031	0.0227666	0.0621415	0.125868	5.5458	23.7053	0.0737159	0.172677	0.260166	0.564636	1.30482	9.61894	0.232979	0.437863	0.116515	0.209099	0.683171	0.925274	0.702359	1.09137	26.742	75.0361	0.281103	0.462129	0.713316	1.4224	7.63798	11.7545	0.442681	2.10177	1.79614	21.7318	2.66887	32.0765	0.65192	7.70743	0.295172	0.918436	3.44291	67.019	0.938553	3.01396	0.0893284	0.170846
MO_180.c_8	6238	271.446	12.9566	71.2049	11.6915	60.9247	7.92543	31.3885	8.57162	48.8595	4.41475	12.6565	0.588042	1.10117	1.74359	3.22962	2.88978	7.46138	8.68118	36.5339	14.0319	109.566	9.45302	50.1088	1.85627	5.30218	16.5972	120.638	17.4865	141.543	3.22438	8.18983	4.26593	14.9865	1.56981	3.11563	1.41376	2.72567	13.9877	77.4675	20.0061	250.707	13.5905	92.3797	19.8513	159.404	0.17247	0.205831	4.24343	8.3108	13.2855	34.9209	0.223226	0.323902	1.1204	1.59898	0.652267	1.1452	8.98883	38.9812	5.37467	18.5398	8.28761	41.0807	6.76248	26.6924	4.19169	11.6836	10.7881	71.0168	3.09921	9.67381	7.45926	26.4164
MO_180.c_9	6232	18.015	0.173792	0.314921	0.0248274	0.0242123	0.0126603	0.012502	0.248274	0.730949	0	0	0	0	0	0	0	0	0.0248274	0.0242133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0496547	0.0472001	4.93045	15.5992	9.6363	24.9563	0.532719	0.638013	1.18974	2.14846	1.06758	1.26512	0	0	0	0	0.0248274	0.0242131	0	0	0	0	0.0993094	0.269049	0	0	0	0
